key,phase,seed,fbig,calibration,alpha,arm,group,n,moved,harm_count,benefit_count,move_rate,harm_rate,harm_among_moved,harm_sum,gain_sum,harm_p95_moved,mae,rmse,identity_mae,delta_mae,weighted_delta,half_error_rate
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,big:single,166,166,19,147,1.0,0.1144578313253012,0.1144578313253012,104.19907390633759,686.584667286287,5.438434932249528,1.4300287318299587,3.695086063969018,4.938375679901943,-3.508346948071984,-0.029119279668997466,0.8734939759036144
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,misfit,540,539,526,13,0.9981481481481481,0.9740740740740741,0.9758812615955473,2753.361239169999,1.938526521507186,9.801761930005972,5.258556772049223,6.0653502877359955,0.1633295264038677,5.095227245645355,0.13757113563242457,0.014814814814814815
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,misfit:single,540,539,526,13,0.9981481481481481,0.9740740740740741,0.9758812615955473,2753.361239169999,1.938526521507186,9.801761930005972,5.258556772049223,6.0653502877359955,0.1633295264038677,5.095227245645355,0.13757113563242457,0.014814814814814815
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,twosheet_back,1000,1000,998,2,1.0,0.998,0.998,5812.588012275746,0.11672447016401977,8.241204017208643,5.973399989186567,6.169165866198734,0.16092870138098506,5.8124712878055815,0.2906235643902791,0.0
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,twosheet_back:single,1000,1000,998,2,1.0,0.998,0.998,5812.588012275746,0.11672447016401977,8.241204017208643,5.973399989186567,6.169165866198734,0.16092870138098506,5.8124712878055815,0.2906235643902791,0.0
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,twosheet_front,1000,958,649,309,0.958,0.649,0.6774530271398748,1083.724652166864,41.621212641072105,8.87583206843206,1.1974863767808217,2.8538174318620233,0.15538293725503008,1.0421034395257915,0.05210517197628958,0.183
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,twosheet_front:single,1000,958,649,309,0.958,0.649,0.6774530271398748,1083.724652166864,41.621212641072105,8.87583206843206,1.1974863767808217,2.8538174318620233,0.15538293725503008,1.0421034395257915,0.05210517197628958,0.183
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,mm,2562,2487,1860,627,0.9707259953161592,0.7259953161592506,0.7478890229191797,5872.995103222753,158.03257497059207,7.798474103765313,2.4332827066636673,3.9594583703803856,0.20261817572995935,2.2306645309337085,0.28574812641260805,0.14949258391881343
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,argmin,single,17438,16627,11678,4949,0.9534923729785526,0.6696868906984746,0.702351596800385,24630.83495247101,1359.9965713491958,8.358291903415639,1.5396571189506816,3.17790805583435,0.20516701795734443,1.3344901009933372,1.1635419190560907,0.17484803303131094
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,gated1,ALL,20000,5277,5110,167,0.26385,0.2555,0.9683532310024635,28488.99113755724,757.8617297570664,11.0,1.5913969816580251,3.28101742812917,0.20484051126801642,1.3865564703900086,1.3865564703900086,0.0081
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,gated1,base,17270,3449,3444,5,0.19971048060220034,0.1994209612044007,0.9985503044360684,18855.221371696498,0.8615877887180823,11.251900319395984,1.2516565810587021,2.912984467367872,0.15991600295170863,1.0917405781069938,0.9427179891953891,5.7903879559930515e-05
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,gated1,base:mm,2538,981,981,0,0.38652482269503546,0.38652482269503546,1.0,5649.050061119466,0.0,10.227389304804566,2.3866733328262915,3.948852782377221,0.16088528667992952,2.2257880461463615,0.2824525030559733,0.0
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,gated1,base:single,14732,2468,2463,5,0.16752647298398046,0.16718707575346184,0.9979740680713128,13206.171310577034,0.8615877887180823,11.4,1.0561181262673542,2.6946118769302885,0.15974901665641777,0.8963691096109364,0.6602654861394158,6.787944610371979e-05
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,gated1,big,190,187,25,162,0.9842105263157894,0.13157894736842105,0.13368983957219252,128.23605322376295,757.0001419683483,5.507539270099556,1.5883535933980628,3.818735853127074,4.897638271001144,-3.3092846776030806,-0.03143820443722927,0.8473684210526315
development_seed101_fbig0.01_exch_a0.2,development,101,0.01,exch,0.2,gated1,big:mm,24,23,6,17,0.9583333333333334,0.25,0.2608695652173913,24.036979317425356,71.71547468206138,5.144999999999999,2.629267219244117,4.544071959989291,4.615871192770618,-1.986603973526501,-0.0023839247682318015,0.6666666666666666
