phase,case,seed,gap,sigma,bias,retain,n,method,status,seconds,reused,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,layer_balanced_source_surface_mae_mm,worst_layer_source_surface_mae_mm,independent_surface_mae_mm,single_normal_span_90_10_mm,support,fit_score,fit_k,fit_initial_two_plane_nll,fit_final_two_plane_nll,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,gap_absolute_relative_error,severe_gap_contraction,balanced_source_midplane_crossing
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,identity,OK,0.0004959320001489687,True,True,True,0.38053932407211544,0.4776010363151678,0.9430537612323717,0.9796954314720813,1.0,0.3771477205305919,1.0,0.4776010363151678,0.38053932407211544,0.4765103589240449,,self-report; not geometry-derived layer count or success,0.38053932407211544,0.38053932407211544,0.38053932407211544,1.1172108745742715,0.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,bias_only,OK,0.00036885800000163727,True,True,True,0.3726962592371534,0.4718034792202591,0.9177682349289911,0.9695431472081218,1.0,0.3689552714175644,1.0,0.47180349447356124,0.3726962592371534,0.4706993682563652,,self-report; not geometry-derived layer count or success,0.3726962592371534,0.3726962592371534,0.3726962592371534,1.1912201207001862,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,old_original,APPLY,0.0007468280000466621,True,True,True,0.033529432933323645,0.040022470097079675,0.0682934204604845,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851132,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,apss_4.0,OK,0.0035239549999914743,True,True,True,0.08678419388400002,0.1128902027336391,0.22744841364098062,1.0,1.0,0.08689248856857912,1.0,0.11292090507289275,0.08678419388400002,0.10934542393917379,,self-report; not geometry-derived layer count or success,0.08678419388400002,0.08678419388400002,0.08678419388400002,0.28710752763654457,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,rimls_8.0,OK,0.0038908409999294236,True,True,True,0.08015723996180957,0.09753158938389396,0.17265649224725538,1.0,1.0,0.08024813031350962,1.0,0.0975625759562952,0.08015723996180957,0.08815002112829222,,self-report; not geometry-derived layer count or success,0.08015723996180957,0.08015723996180957,0.08015723996180957,0.23313725536947968,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,spatial_36,OK,0.05723114800002804,True,True,True,0.033529432933323645,0.04002247009707967,0.06829342046048449,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,1,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851133,1.0,189.9954280776946,1,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,constant_36,OK,0.0950136859974009,False,True,True,0.033529432933323645,0.04002247009707967,0.06829342046048449,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,1,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851133,1.0,189.9954280776946,1,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,constant_108,OK,0.14886879500045325,False,True,True,0.033529432933323645,0.04002247009707967,0.06829342046048449,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,1,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851133,1.0,189.9954280776946,1,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,constant_324,OK,0.42717481900035636,False,True,True,0.033529432933323645,0.04002247009707967,0.06829342046048449,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,1,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851133,1.0,189.9954280776946,1,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,spatial_108,OK,0.16744331799986867,True,True,True,0.033529432933323645,0.04002247009707967,0.06829342046048449,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,1,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851133,1.0,189.9954280776946,1,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,spatial_324,OK,0.49984320200019283,False,True,True,0.033529432933323645,0.04002247009707967,0.06829342046048449,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,1,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851133,1.0,189.9954280776946,1,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,constant_lbfgs64,OK,0.5299591040020459,False,True,True,0.033529432933323645,0.040022470097079675,0.0682934204604845,1.0,1.0,0.03355444956113999,1.0,0.04002894768979044,0.033529432933323645,0.02368903512749138,1,self-report; not geometry-derived layer count or success,0.033529432933323645,0.033529432933323645,0.033529432933323645,0.06348635708851132,1.0,189.9954280776946,1,87.07290844574035,87.07290844574032,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,rimls_0.5,OK,0.0019290430000182823,True,True,True,0.34638135467971526,0.4427441033761358,0.8988926269024435,0.9695431472081218,1.0,0.34724255465255255,1.0,0.44292091789233023,0.34638135467971526,0.4416212135259597,,self-report; not geometry-derived layer count or success,0.34638135467971526,0.34638135467971526,0.34638135467971526,1.0270681315902603,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,rimls_1.0,OK,0.002025731999992786,True,True,True,0.271881032267318,0.357889096251173,0.7517278033817384,0.9898477157360406,1.0,0.273201324737521,1.0,0.35832400633498046,0.271881032267318,0.3567336256703921,,self-report; not geometry-derived layer count or success,0.271881032267318,0.271881032267318,0.271881032267318,0.8352605829445665,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,rimls_2.0,OK,0.0027305250000608794,True,True,True,0.15579547320792,0.19025188416562816,0.3381151460242826,1.0,1.0,0.1564483142728277,1.0,0.19069186205083372,0.15579547320792,0.18882575264199153,,self-report; not geometry-derived layer count or success,0.15579547320792,0.15579547320792,0.15579547320792,0.4673384733296323,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,rimls_4.0,OK,0.003010586999835141,True,True,True,0.09482761433014568,0.12269894316724808,0.25008319308375654,1.0,1.0,0.09521053501400308,1.0,0.12283832812219585,0.09482761433014568,0.11882069695640597,,self-report; not geometry-derived layer count or success,0.09482761433014568,0.09482761433014568,0.09482761433014568,0.3038341920535989,1.0,,,,,,,,,,
development,s9140101_g0_n0.5_b0_r0.25,9140101,0,0.5,0,0.25,197,rimls_16.0,OK,0.01383868899938534,False,True,True,0.08473596335916003,0.09307212473906676,0.14705071866733307,1.0,1.0,0.08477838734553332,1.0,0.09307746550624676,0.08473596335916003,0.042067582366219845,,self-report; not geometry-derived layer count or success,0.08473596335916003,0.08473596335916003,0.08473596335916003,0.11469412918973901,1.0,,,,,,,,,,
