phase,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
confirmation,s9171101_g0_n1_l0,9171101,0.0,1.0,adaptive_bic,OK,7.708784577000188,0.0,S,0.06216831139865406,0.07765297682110434,0.06216831139865406,0.06216831139865406,1.0,1,0.11759599442572993,0.1347548348984556,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n1_l0,9171101,0.0,1.0,adaptive_cv,OK,7.708784577000188,0.0,R,0.18215095276381418,0.21939687392988513,0.18215095276381418,0.18215095276381418,1.0,2,0.4441169223555709,0.5089071219398773,1,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n1_l0,9171101,0.0,1.0,constant_only,OK,7.708784577000188,0.0,S,0.06216831139865406,0.07765297682110434,0.06216831139865406,0.06216831139865406,1.0,1,0.11759599442572993,0.1347548348984556,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n1_l0,9171101,0.0,1.0,linear_only,OK,7.708784577000188,0.0,S,0.06216831139865406,0.07765297682110434,0.06216831139865406,0.06216831139865406,1.0,1,0.11759599442572993,0.1347548348984556,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n1_l0,9171101,0.0,1.0,old_constant64,OK,7.708784577000188,0.0,S,0.06216831139865406,0.07765297682110434,0.06216831139865406,0.06216831139865406,1.0,1,0.11759599442572993,0.1347548348984556,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n1_l0,9171101,0.0,1.0,old_spatial36,OK,7.708784577000188,0.0,S,0.06216831139865406,0.07765297682110434,0.06216831139865406,0.06216831139865406,1.0,1,0.11759599442572993,0.1347548348984556,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n1_l0,9171101,0.0,1.0,rbf_only,OK,7.708784577000188,0.0,S,0.06216831139865406,0.07765297682110434,0.06216831139865406,0.06216831139865406,1.0,1,0.11759599442572993,0.1347548348984556,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n2_l0,9171101,0.0,2.0,adaptive_bic,OK,7.860719664997305,0.0,S,0.12433662279730812,0.15530595364220867,0.12433662279730812,0.12433662279730812,1.0,1,0.23519198885145987,0.2695081790188424,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n2_l0,9171101,0.0,2.0,adaptive_cv,OK,7.860719664997305,0.0,R,0.36430190552762837,0.43879374785977027,0.36430190552762837,0.36430190552762837,0.98828125,2,0.8882338447111418,1.0177339593626082,1,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n2_l0,9171101,0.0,2.0,constant_only,OK,7.860719664997305,0.0,S,0.12433662279730812,0.15530595364220867,0.12433662279730812,0.12433662279730812,1.0,1,0.23519198885145987,0.2695081790188424,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n2_l0,9171101,0.0,2.0,linear_only,OK,7.860719664997305,0.0,S,0.12433662279730812,0.15530595364220867,0.12433662279730812,0.12433662279730812,1.0,1,0.23519198885145987,0.2695081790188424,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n2_l0,9171101,0.0,2.0,old_constant64,OK,7.860719664997305,0.0,S,0.12433662279730812,0.15530595364220867,0.12433662279730812,0.12433662279730812,1.0,1,0.23519198885145987,0.2695081790188424,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n2_l0,9171101,0.0,2.0,old_spatial36,OK,7.860719664997305,0.0,S,0.12433662279730812,0.15530595364220867,0.12433662279730812,0.12433662279730812,1.0,1,0.23519198885145987,0.2695081790188424,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g0_n2_l0,9171101,0.0,2.0,rbf_only,OK,7.860719664997305,0.0,S,0.12433662279730812,0.15530595364220867,0.12433662279730812,0.12433662279730812,1.0,1,0.23519198885145987,0.2695081790188424,0,,,,,,,,,,,,,,,,,,,
confirmation,s9171101_g2_n1_l0,9171101,2.0,1.0,adaptive_bic,OK,7.366117267993104,0.0,C,0.07467566983578541,0.772620522378914,0.3591851595807839,0.40684470062754624,0.8671875,2,0.08009543741258103,0.09178253193188184,,0.11979166666666667,0.17708333333333334,0.1484375,2.0103364145620657,2.010333835193195,1.4135177914889525,-0.0015045964822820383,0.010336414562065688,1.4120131950066703,0.5879868049933297,0.29399340249666484,2.220446049250313e-16,0.1484375,2.0088318180797837,0.0075888771581193145,0.5999031054263355,-0.010549510983389007,0.596942471601066,1.5265566588595902e-16
confirmation,s9171101_g2_n1_l0,9171101,2.0,1.0,adaptive_cv,OK,7.366117267993104,0.0,C,0.07467566983578541,0.772620522378914,0.3591851595807839,0.40684470062754624,0.8671875,2,0.08009543741258103,0.09178253193188184,,0.11979166666666667,0.17708333333333334,0.1484375,2.0103364145620657,2.010333835193195,1.4135177914889525,-0.0015045964822820383,0.010336414562065688,1.4120131950066703,0.5879868049933297,0.29399340249666484,2.220446049250313e-16,0.1484375,2.0088318180797837,0.0075888771581193145,0.5999031054263355,-0.010549510983389007,0.596942471601066,1.5265566588595902e-16
confirmation,s9171101_g2_n1_l0,9171101,2.0,1.0,constant_only,OK,7.366117267993104,0.0,C,0.07467566983578541,0.772620522378914,0.3591851595807839,0.40684470062754624,0.8671875,2,0.08009543741258103,0.09178253193188184,,0.11979166666666667,0.17708333333333334,0.1484375,2.0103364145620657,2.010333835193195,1.4135177914889525,-0.0015045964822820383,0.010336414562065688,1.4120131950066703,0.5879868049933297,0.29399340249666484,2.220446049250313e-16,0.1484375,2.0088318180797837,0.0075888771581193145,0.5999031054263355,-0.010549510983389007,0.596942471601066,1.5265566588595902e-16
confirmation,s9171101_g2_n1_l0,9171101,2.0,1.0,linear_only,OK,7.366117267993104,0.0,L,0.1184749411176889,0.776349834443035,0.3988816192108894,0.4742399545496747,0.8658854166666666,2,0.15204154173586323,0.17422623604073234,,0.10677083333333333,0.20052083333333334,0.15364583333333334,2.031785551160076,2.031776157618087,1.4074347828348441,0.0003016785477720097,0.031785551160075975,1.4077364613826162,0.5922635386173838,0.2961317693086919,0.0,0.15364583333333334,2.032087229707848,0.02126655744427931,0.6342734349694489,-0.052820926974000426,0.6027190654397278,0.0
confirmation,s9171101_g2_n1_l0,9171101,2.0,1.0,old_constant64,OK,7.366117267993104,0.0,C,0.07467566983578541,0.772620522378914,0.3591851595807839,0.40684470062754624,0.8671875,2,0.08009543741258103,0.09178253193188184,,0.11979166666666667,0.17708333333333334,0.1484375,2.0103364145620657,2.010333835193195,1.4135177914889525,-0.0015045964822820383,0.010336414562065688,1.4120131950066703,0.5879868049933297,0.29399340249666484,2.220446049250313e-16,0.1484375,2.0088318180797837,0.0075888771581193145,0.5999031054263355,-0.010549510983389007,0.596942471601066,1.5265566588595902e-16
confirmation,s9171101_g2_n1_l0,9171101,2.0,1.0,old_spatial36,OK,7.366117267993104,0.0,R,0.13313783416731137,0.789247627326596,0.4202298001222603,0.4924525863745913,0.8606770833333334,2,0.16429258073869543,0.18826475208114293,,0.11197916666666667,0.20572916666666666,0.15885416666666666,2.0355243668278478,2.035513378320882,1.3888213127835838,0.000572059763699653,0.035524366827847764,1.3893933725472833,0.6106066274527167,0.3053033137263583,0.0,0.15885416666666666,2.0360964265915475,0.026822945862917082,0.658189912304543,-0.06210104092679888,0.6229118172406615,1.8735013540549517e-16
confirmation,s9171101_g2_n1_l0,9171101,2.0,1.0,rbf_only,OK,7.366117267993104,0.0,R,0.13270096239965776,0.7892202130791188,0.4198884794309425,0.492186340989715,0.8606770833333334,2,0.1642650787190331,0.1882332374282493,,0.11197916666666667,0.20572916666666666,0.15885416666666666,2.0354409322100047,2.0354299478318385,1.388764386039118,0.0005690050759668832,0.03544093221000466,1.3893333911150845,0.6106666088849155,0.30533330444245776,2.220446049250313e-16,0.15885416666666666,2.036009937285971,0.02666826202054151,0.6581359559882078,-0.06193567327609967,0.6228685447326497,5.551115123125783e-17
confirmation,s9171101_g2_n1_l0.5,9171101,2.0,1.0,adaptive_bic,OK,8.174427445002948,0.5,C,0.49788922914416145,0.8152586890313712,0.6572532874541639,0.8297060085962581,0.78515625,2,0.7643871506117663,0.8758549236307137,,0.0625,0.5338541666666666,0.2981770833333333,1.677538750889497,1.6773427521876596,0.6771315270517502,0.5129256931484606,0.322461249110503,1.1900572202002102,0.8099427797997898,0.4049713898998949,6.661338147750939e-16,0.22265625,2.190464444037957,0.3462253351659463,0.8391109423288018,-0.520689547453598,0.66464673004115,0.0
confirmation,s9171101_g2_n1_l0.5,9171101,2.0,1.0,adaptive_cv,OK,8.174427445002948,0.5,R,0.3996144595070911,0.797420271835198,0.5930319642185428,0.7969968969430625,0.81640625,2,0.5346303399382403,0.6126178950301431,,0.033854166666666664,0.4088541666666667,0.22135416666666669,1.7539284349400677,1.7538281786041223,0.9774497007218087,0.29757636404180965,0.24607156505993233,1.275026064763618,0.724973935236382,0.362486967618191,4.440892098500626e-16,0.19401041666666666,2.051504798981877,0.19852026712333962,0.6809440655358379,-0.24358524272545648,0.6358790899337211,1.3877787807814457e-16
confirmation,s9171101_g2_n1_l0.5,9171101,2.0,1.0,constant_only,OK,8.174427445002948,0.5,C,0.49788922914416145,0.8152586890313712,0.6572532874541639,0.8297060085962581,0.78515625,2,0.7643871506117663,0.8758549236307137,,0.0625,0.5338541666666666,0.2981770833333333,1.677538750889497,1.6773427521876596,0.6771315270517502,0.5129256931484606,0.322461249110503,1.1900572202002102,0.8099427797997898,0.4049713898998949,6.661338147750939e-16,0.22265625,2.190464444037957,0.3462253351659463,0.8391109423288018,-0.520689547453598,0.66464673004115,0.0
confirmation,s9171101_g2_n1_l0.5,9171101,2.0,1.0,linear_only,OK,8.174427445002948,0.5,L,0.1432582344968688,0.7110417273783678,0.37706952357986423,0.4289661304720474,0.8723958333333334,2,0.18069594141005224,0.20706139492640094,,0.08072916666666667,0.19270833333333334,0.13671875,1.8453924519294307,1.845380401257103,1.340792953354977,0.04190974764001513,0.1546075480705693,1.3827027009949924,0.6172972990050076,0.3086486495025038,2.220446049250313e-16,0.13671875,1.8873021995694454,0.027713812750436814,0.4655920529583362,0.012274472364440105,0.5055803380732131,3.469446951953614e-17
confirmation,s9171101_g2_n1_l0.5,9171101,2.0,1.0,old_constant64,OK,8.174427445002948,0.5,C,0.4978892291441614,0.8152586890313711,0.6572532874541638,0.8297060085962583,0.78515625,2,0.7643871506117663,0.8758549236307137,,0.0625,0.5338541666666666,0.2981770833333333,1.6775387508894966,1.6773427521876592,0.67713152705175,0.5129256931484606,0.32246124911050345,1.1900572202002104,0.8099427797997896,0.4049713898998948,0.0,0.22265625,2.190464444037957,0.34622533516594567,0.8391109423288015,-0.5206895474535971,0.6646467300411499,1.1102230246251565e-16
confirmation,s9171101_g2_n1_l0.5,9171101,2.0,1.0,old_spatial36,OK,8.174427445002948,0.5,R,0.37909994283160725,0.7786244889324613,0.56420776651705,0.7395998072192856,0.8268229166666666,2,0.5600965268611656,0.6417964981768437,,0.052083333333333336,0.3671875,0.20963541666666666,1.6894355449833673,1.689329557028514,0.9811044961752367,0.3535601880710744,0.31056445501663266,1.334664684246311,0.665335315753689,0.3326676578768445,0.0,0.18489583333333334,2.042995733054442,0.17710991058798373,0.598339825735902,-0.16919364155854924,0.6062560947653365,8.326672684688674e-17
confirmation,s9171101_g2_n1_l0.5,9171101,2.0,1.0,rbf_only,OK,8.174427445002948,0.5,R,0.3996144595070911,0.797420271835198,0.5930319642185428,0.7969968969430625,0.81640625,2,0.5346303399382403,0.6126178950301431,,0.033854166666666664,0.4088541666666667,0.22135416666666669,1.7539284349400677,1.7538281786041223,0.9774497007218087,0.29757636404180965,0.24607156505993233,1.275026064763618,0.724973935236382,0.362486967618191,4.440892098500626e-16,0.19401041666666666,2.051504798981877,0.19852026712333962,0.6809440655358379,-0.24358524272545648,0.6358790899337211,1.3877787807814457e-16
confirmation,s9171101_g2_n1_l1,9171101,2.0,1.0,adaptive_bic,OK,9.26642461099982,1.0,L,0.08071728010770444,0.23073946880141974,0.10143794954801033,0.12857580927236203,0.9934895833333334,2,0.1057933926350674,0.1212301170558382,,0.010416666666666666,0.010416666666666666,0.010416666666666666,2.131937088011899,2.1319323157967904,2.087521732011651,0.001802729978596795,0.13193708801189885,2.089324461990248,0.0893244619902478,0.0446622309951239,0.0,0.010416666666666666,2.1337398179904956,0.009822069287262607,0.047345372367090154,-0.003926739191591409,0.05324070246276136,7.806255641895632e-18
confirmation,s9171101_g2_n1_l1,9171101,2.0,1.0,adaptive_cv,OK,9.26642461099982,1.0,R,0.07965509663365881,0.2189822206834582,0.09785414452990399,0.11889335271949526,0.9947916666666666,2,0.10762177150851933,0.12332527536898351,,0.010416666666666666,0.0078125,0.009114583333333332,2.1541915932894726,2.1541866031453796,2.114922475703467,-0.0202855175824637,0.15419159328947263,2.094636958121003,0.09463695812100292,0.04731847906050146,0.0,0.009114583333333332,2.1339060757070087,0.009595380785515948,0.042296601489834974,-0.003938769299892125,0.04795321297545879,1.734723475976807e-18
confirmation,s9171101_g2_n1_l1,9171101,2.0,1.0,constant_only,OK,9.26642461099982,1.0,C,0.39558671980316484,0.5271338112407852,0.4183264983167813,0.42075468426895996,0.9348958333333334,2,1.3392357405392281,1.5342842750612535,,0.3854166666666667,0.4401041666666667,0.4127604166666667,0.8919217568652844,0.8916019872361235,0.155621764869724,1.627789035497208,1.1080782431347156,1.7834108003669322,0.21658919963306777,0.10829459981653389,2.220446049250313e-16,0.06510416666666667,2.519710792362493,0.2699980146699954,0.32836099122028756,-0.32048895093704727,0.2778700549532357,0.0
