key,eligible_count,grid_covered_harm,linear_covered_harm,grid_mae,linear_mae,max_movement_difference
fbig0.01_exch_atgt0.2_seed101,3681,6,0,0.4251540765553079,0.42509381475315483,0.0499993965997696
fbig0.01_exch_atgt0.5_seed101,8491,18,0,0.6180415073289836,0.6141817828190892,0.049998284580192794
fbig0.01_sfm_atgt0.2_seed101,7689,11,0,0.7690256772967323,0.765844121905608,0.049992400344772064
fbig0.01_sfm_atgt0.5_seed101,13231,23,0,1.1821006425675964,1.173274746815878,0.04999872894347046
fbig0.10_exch_atgt0.2_seed101,4657,6,0,0.6028196622184687,0.603587223073033,0.04999182199423677
fbig0.10_exch_atgt0.5_seed101,8967,15,0,0.7123970860295569,0.7096450791156164,0.049997563678491175
fbig0.10_sfm_atgt0.2_seed101,7808,9,0,0.8426509665516041,0.8409913012047433,0.049986638279145054
fbig0.10_sfm_atgt0.5_seed101,13301,21,0,1.23484936796345,1.2273380114119399,0.04998740601021723
fbig0.01_exch_atgt0.2_seed102,3631,8,0,0.41841498226240437,0.4183622708936151,0.04998033032577087
fbig0.01_exch_atgt0.5_seed102,8401,21,0,0.6075022509791957,0.603889280616741,0.04999650454408472
fbig0.01_sfm_atgt0.2_seed102,7512,15,0,0.7668305553123556,0.7636792771178214,0.04999727794020045
fbig0.01_sfm_atgt0.5_seed102,12896,22,0,1.2230220534675456,1.2142932635103496,0.049997849429390985
fbig0.10_exch_atgt0.2_seed102,4185,8,0,0.5828676627014213,0.5840536518157928,0.049988654664205434
fbig0.10_exch_atgt0.5_seed102,8946,16,0,0.7492828657344955,0.7466326629374327,0.04999635237023679
fbig0.10_sfm_atgt0.2_seed102,8599,11,0,0.9099053140666574,0.9076699752748693,0.04999824606926673
fbig0.10_sfm_atgt0.5_seed102,13628,18,0,1.2895315368320632,1.2818236331425208,0.04999514613960221
fbig0.01_exch_atgt0.2_seed103,3627,6,0,0.42438063566399326,0.4241635064073824,0.04998736465147974
fbig0.01_exch_atgt0.5_seed103,8688,20,0,0.6253831542739512,0.6215630415011751,0.049998291943408324
fbig0.01_sfm_atgt0.2_seed103,7648,15,0,0.8013450619343148,0.7981120479890932,0.04999984236558053
fbig0.01_sfm_atgt0.5_seed103,13107,26,0,1.2170283727573692,1.2083953358431472,0.04999830191760655
fbig0.10_exch_atgt0.2_seed103,4110,8,0,0.5836363716830385,0.5847430554061575,0.04999248039467441
fbig0.10_exch_atgt0.5_seed103,8750,16,0,0.7186611296492307,0.7163726249892663,0.04998104279965432
fbig0.10_sfm_atgt0.2_seed103,8313,14,0,0.8905880871202929,0.888604717398435,0.04999912988480659
fbig0.10_sfm_atgt0.5_seed103,13400,15,0,1.2584384515709512,1.2512226651701002,0.04999668416311476
