status,n_output_raw,n_output_roi,n_output_eval,n_laser_eval,accuracy_mm,completeness_mm,accuracy_p95_mm,completeness_p95_mm,precision_1mm,recall_1mm,fscore_1mm,E_sym_mm,coverage_laser_points,voxel_mm,arm,roi_id,seconds,ply_sha256,kind,scene_id
SCORED,38296,37418,34475,67574,0.3531441326308371,1.6786036679816103,0.665721118080279,9.17800868307256,0.970065264684554,0.8994583715630272,0.9334285016415552,1.0158739003062238,67574,0.8,identity,scan24_window_left,0.4115473460042267,653d1bb6ab233e567bf354ad6853773f1faabfc81b0f658dd7a90aad96b19992,structure,24
SCORED,18083,14663,13070,67574,3.836756944937284,2.613828733310798,23.879444443549616,7.163025909127679,0.57061973986228,0.22480539852606032,0.322540467570561,3.225292839124041,67574,0.8,fusion_wta,scan24_window_left,0.3641182139981538,4d3afd455f258609fc7ee79c0fa932153055de1f733d8025160e97649dd5edf3,structure,24
SCORED,9507,9018,8063,67574,1.4185928519793016,40.63381424078388,2.9360020636906103,123.87575635384806,0.6657571623465212,0.1434279456595732,0.23601072525617794,21.026203546381588,67574,0.8,restricted_single,scan24_window_left,0.9284021280036541,7accb933dcf2cae7285262c37655d8c5497323d8e19ab9f481a1fbcc57e86fa2,structure,24
SCORED,38296,36993,9108,67574,0.6441529047074448,3.0029409637882796,1.42582082847878,8.703003674766299,0.8477162933684673,0.24419155296415782,0.3791623237179417,1.823546934247862,67574,0.8,restricted_point_move,scan24_window_left,0.3280662799952552,e7e35dfbf3907e5deb44feda624f96f688edafb13918a541c558ca53f361cebe,structure,24
SCORED,35657,32628,28522,67574,2.850697559081567,3.032955297098169,11.910588496234915,10.774986578391964,0.4484608372484398,0.4145529345606298,0.430840763356875,2.9418264280898683,67574,0.8,v25_atlas,scan24_window_left,0.4267035640004906,60d1445e26e34143a508075e9bd36591e59307703205a27d7620ab3d524365f1,structure,24
SCORED,28624,27401,24911,67574,2.9633180141604036,2.8129088729327503,14.276803384941065,9.908058059964082,0.5808678896872868,0.40409033060052685,0.47661533808079265,2.888113443546577,67574,0.8,v25_wta_atlas,scan24_window_left,0.4198807959983242,b30e3cc6405ab15bd7d7aebe6bf2c520b56b7f1dd23357adcf73187c4e351081,structure,24
SCORED,12872,12255,10807,67574,1.2180049602618181,5.449541988950125,3.5025383820592597,21.43698046234473,0.666142315166096,0.2116790481546157,0.32126894400576095,3.3337734746059717,67574,0.8,v25_depth_cc,scan24_window_left,0.3445820859997184,87a03b189cf95db97f6f5d21ca36bc31f85b2207ae49051331bf5a014c863e75,structure,24
SCORED,38296,36955,25321,67574,0.3830275910090613,2.1557058912516136,0.8140870307723553,9.02432726515995,0.9612574542869555,0.7084529552786575,0.8157171212107387,1.2693667411303375,67574,0.8,v25_gated_move,scan24_window_left,0.3505507000008947,c24382eb652ca2d68cb4f414c295d6254100882b82b9bcc8854eb013eaf7adc3,structure,24
SCORED,54212,54036,51029,95514,0.3983734147697031,0.6813768841734988,1.0518945978816323,1.3425096821344555,0.9468929432283604,0.9178130954624453,0.9321262711265033,0.539875149471601,95514,0.8,identity,scan24_gable_center,0.4268240590026835,148eb8a0adf67adc86f69520a51c4fd4cea8b5b1bd2092b49fa150cac918132e,structure,24
SCORED,16508,14211,13996,95514,6.431059252064088,2.9496233167894137,35.73522079950254,7.587277822352852,0.44519862817947986,0.15109826831668655,0.22562163972395013,4.690341284426751,95514,0.8,fusion_wta,scan24_gable_center,0.48173758699704194,f6a95e33008ff24948ed669963968047a121a279207b3d617551623df55dd37c,structure,24
