case,seed,f_big,n_calibration,selector,subset,n,n_rejected,rejection_rate,max_bh_margin,bh_rejections,p_floor_min,p_floor_max,observation_sha256,selector_input_sha256,calibration_prefix_sha256,p_sha256
seed102_fbig0.01,102,0.01,8000,bh,all,20000,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,big,194,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,within_tolerance,19567,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,outside_tolerance,433,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,misfit,540,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,twosheet_back,1000,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,twosheet_front,1000,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,base,17266,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,wrong_association,2608,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
seed102_fbig0.01,102,0.01,8000,bh,misfit_within_tolerance,536,0,0.0,-0.00036883177570093455,0,0.0003698224852071006,0.00038109756097560977,fe469cc43bfa54c24c0679bdfdf8ac786f385b64383679782318b335d5874831,6a3d6e42796c883228bb8ec2e1cdcc9131d7dd0bfc3e07d676c712faef399cd5,d4c3a77fe20ae66bf0ba3510a37dd125f776c7bbef959fd8ccd45744dd868fcf,05803a4da9ebf7f2ad481f56da75b2dbb6c054e31e8932e0bf252a192b4b5e73
