patch,method,n,frozen_association_groups,incident_triangles,orientation_reversals,area_ratio_min,area_ratio_max,interior_reversals,boundary_reversals,observed_points,mean_mm,p95_mm,displacement_rms_mm
0,identity,1024,1,2176,0,1.0,1.0,0,0,1024,0.158227836974825,0.2591356040702839,0.0
0,plane,1024,1,2176,0,0.9749038573923667,1.0694418577245917,0,0,1024,0.1559409669055795,0.24718248988572278,0.041994146449900994
0,spatial_s1,1024,1,2176,0,0.9749038573923667,1.0694418577245917,0,0,1024,0.1559409669055795,0.24718248988572278,0.041994146449900994
0,apss4,1024,1,2176,0,0.9801793453201557,1.010168820561179,0,0,1024,0.15669874260458105,0.2506451778636027,0.022208970797808186
0,shared_affine,1024,1,2176,0,0.9749038573923667,1.0694418577245917,0,0,1024,0.1559409669055795,0.24718248988572278,0.041994146449900994
0,separate_affine,1024,1,2176,0,0.9749038573923667,1.0694418577245917,0,0,1024,0.1559409669055795,0.24718248988572278,0.041994146449900994
0,separate_quadratic,1024,1,2176,0,0.9749052764232047,1.060893634988846,0,0,1024,0.15590437139942026,0.24822237676415532,0.03931510809272134
0,single_quadratic,1024,1,2176,0,0.9749052764232047,1.060893634988846,0,0,1024,0.15590437139942026,0.24822237676415532,0.03931510809272134
1,identity,1024,2,1679,0,1.0,1.0,0,0,1021,1.1571614724790886,2.213706082190558,0.0
1,plane,1024,2,1679,36,0.005406219940703905,58.816407319598895,0,36,1021,1.048331590033091,2.1439243167788784,1.1612511963463061
1,spatial_s1,1024,2,1679,11,0.005424160666169032,32.943420129405915,4,7,1021,1.1498296736662563,2.351603970875399,0.5434496919519166
1,apss4,1024,2,1679,3,0.05647056791130596,5.137618826261036,3,0,1021,1.158095522874351,2.1429573951571568,0.13644088772080643
1,shared_affine,1024,2,1679,11,0.005424138540220502,32.905782790300954,4,7,1021,1.14913392596266,2.3496357919331246,0.5434422894400726
1,separate_affine,1024,2,1679,8,0.005410254594471844,29.009648934763323,4,4,1021,1.1725696535675179,2.212109202943674,0.5030662039246232
1,separate_quadratic,1024,2,1679,10,0.006433479876047967,27.685499345069932,4,6,1021,1.1725735340532053,2.2349186278415663,0.4685071359980878
1,single_quadratic,1024,2,1679,59,0.006226621931692679,45.35301203858791,33,26,1021,1.1168688173672177,2.330683241698362,0.9865821826067166
2,identity,1024,2,2175,0,1.0,1.0,0,0,1024,0.18075121109778075,0.3638258701277684,0.0
2,plane,1024,2,2175,8,0.41424349109262526,11.561626270313546,0,8,1024,0.4870998395264792,0.9571592344100307,0.9044088038372461
2,spatial_s1,1024,2,2175,7,0.4158862050933512,64.23041411891488,1,6,1024,0.2587230866659579,0.5536785469867528,0.4446711415815889
2,apss4,1024,2,2175,0,0.6049719432562625,2.0839901995005152,0,0,1024,0.18316458889600185,0.37144446935852404,0.05605812225856671
2,shared_affine,1024,2,2175,7,0.41592284033439697,64.19890827116508,1,6,1024,0.2594170981114791,0.5561883685286306,0.44464798865691474
2,separate_affine,1024,2,2175,7,0.4150395956853034,62.28195120123064,1,6,1024,0.2518002335675066,0.5539206866154782,0.4323535662732608
2,separate_quadratic,1024,2,2175,6,0.4659843166199911,17.397521112807603,1,5,1024,0.2391155259856353,0.5526609316940816,0.36727804108744183
2,single_quadratic,1024,2,2175,7,0.4350807308596645,70.20669627533725,0,7,1024,0.3937656999537618,0.8407446175091836,0.7069835058886513
