method,label,n_patches,mae_mm,completeness_mm,recall_pct,fscore,displacement_rms_mm
identity,Identity,24,0.4372457803276946,0.5302961969533837,92.35772272226573,0.912853675257037,0.0
v18,Frozen V18,24,0.45947964964198285,0.5941133206956636,87.68829409863068,0.8874998431102612,0.37697879303369414
apss2,APSS2,24,0.43651746978769385,0.5340700493033123,92.16908512455934,0.9120357137294149,0.034471094706471465
rimls2,RIMLS2,24,0.43722949796527094,0.5340669485224333,92.21906600012562,0.9120168096612072,0.030153209922482313
local_plane64,Local plane 64,24,0.43151475821226,0.5433415529481312,91.41397275342881,0.9082950317466386,0.15559830084154627
quadratic64,Quadratic 64,24,0.43430511395649357,0.5357563230458139,92.108588219721,0.9119204896252674,0.09722015879779529
multiscale_full,Multiscale full,24,0.43356258303875445,0.5373850276791532,91.97490360270969,0.9113162649827616,0.08835120435407832
multiscale_consensus,Consensus (primary),24,0.434630781422437,0.5361219830242515,92.02513250077939,0.9115130839888662,0.06045609776916907
multiscale_matched,Matched damping,24,0.4343443180517988,0.5364275631240847,92.03680744623072,0.9114304002485495,0.06045609776916913
