balanced_source_mae_mm,case,coverage_1mm,cross_midplane_mass,dependence,dual_missed,fitted_gap_error_mm,gap,matched_rms_mm,method,model_k,n,phase,posterior_brier,ratio,representation,risk_rms_mm,seed,sigma,single_false_split,source_gap_error_mm,status,surface_mae_mm,upper_mass,upper_mass_error,vertical_w1_mm
0.12150204776272568,s9201101_g0_n2_p0.5_l0,1.0,,0.0,,,0.0,0.14297580387598866,candidate_legacy_spatial,1,768,confirmation,0.0,0.5,points,0.14297580387598866,9201101,2.0,0,,OK,0.12150204776272568,,,0.12150204776272519
0.12150204776272568,s9201101_g0_n2_p0.5_l0,1.0,,0.0,,,0.0,0.14297580387598866,candidate_retained,1,768,confirmation,0.0,0.5,points,0.14297580387598866,9201101,2.0,0,,OK,0.12150204776272568,,,0.12150204776272519
1.5601056843220495,s9201101_g0_n2_p0.5_l0,0.4127604166666667,,0.0,,,0.0,1.9364749831491754,identity,0,768,confirmation,,0.5,points,1.9364749831491754,9201101,2.0,,,OK,1.5601056843220495,,,1.560105684322052
0.5027011932490072,s9201101_g2_n1_p0.2_l0,0.9010416666666666,0.22811878675070857,0.0,0,0.000736555508721537,2.0,0.6453473494030871,v18_map,2,768,confirmation,0.07973244018828435,0.2,points,0.6453473494030871,9201101,1.0,,0.9169005450667815,OK,0.06522990483170847,0.13020833333333334,0.0703125,0.18516929272347732
0.5067207473557702,s9201101_g2_n1_p0.2_l0,0.8997395833333334,0.23136553999746182,0.0,0,0.002257381062593433,2.0,0.6484975063997521,old_crossfit_gate_map,2,768,confirmation,0.07988955732837202,0.2,points,0.6484975063997521,9201101,1.0,,0.9305879917259154,OK,0.06344864493526334,0.12890625,0.07161458333333334,0.1859513581818295
0.5027011932490072,s9201101_g2_n1_p0.2_l0,0.9010416666666666,0.22811878675070857,0.0,0,0.000736555508721759,2.0,0.6453473494030872,old_insample_gate_map,2,768,confirmation,0.07973244018828433,0.2,points,0.6453473494030872,9201101,1.0,,0.9169005450667818,OK,0.06522990483170849,0.13020833333333334,0.0703125,0.18516929272347735
0.5027011932490072,s9201101_g2_n1_p0.2_l0,0.9010416666666666,0.22811878675070857,0.0,0,0.000736555508721759,2.0,0.6453473494030872,repaired_insample_map,2,768,confirmation,0.07973244018828433,0.2,points,0.6453473494030872,9201101,1.0,,0.9169005450667818,OK,0.06522990483170849,0.13020833333333334,0.0703125,0.18516929272347735
0.5067207473588416,s9201101_g2_n1_p0.2_l0,0.8997395833333334,0.23136553999746182,0.0,0,0.002257381301498107,2.0,0.648497506409389,repaired_crossfit_map,2,768,confirmation,0.07988955732106305,0.2,points,0.648497506409389,9201101,1.0,,0.9305879918535598,OK,0.06344864491420991,0.12890625,0.07161458333333334,0.1859513581806964
1.001267064273966,s9201101_g2_n1_p0.2_l0,0.7994791666666666,0.5,0.0,1,2.0,2.0,0.8037316933837358,candidate_pool_S,1,768,confirmation,0.20052083333333334,0.2,points,0.8037316933837358,9201101,1.0,,2.002534128547932,OK,0.3766862701966307,0.0,0.20052083333333334,0.5984184782555679
0.5027011932490072,s9201101_g2_n1_p0.2_l0,0.9010416666666666,0.22811878675070857,0.0,0,0.000736555508721537,2.0,0.6453473494030871,candidate_pool_C,2,768,confirmation,0.07973244018828435,0.2,points,0.6453473494030871,9201101,1.0,,0.9169005450667815,OK,0.06522990483170847,0.13020833333333334,0.0703125,0.18516929272347732
0.606174961833174,s9201101_g2_n1_p0.2_l0,0.8841145833333334,0.27032657895850076,0.0,0,0.06766977651325368,2.0,0.6893304052132448,candidate_pool_L,2,768,confirmation,0.08528149721521543,0.2,points,0.6893304052132448,9201101,1.0,,1.057868564656924,OK,0.1194181021259959,0.11328125,0.08723958333333334,0.24594713401843848
0.6235319800019419,s9201101_g2_n1_p0.2_l0,0.875,0.27278015144464657,0.0,0,0.09220875352307445,2.0,0.7190348172381903,candidate_pool_R,2,768,confirmation,0.09359171925018205,0.2,points,0.7190348172381903,9201101,1.0,,1.0584677006065868,OK,0.13920754779280572,0.12369791666666667,0.07682291666666667,0.24255589178832637
0.5598749478639067,s9201101_g2_n1_p0.2_l0,0.8854166666666666,0.2378907737213926,0.0,0,0.0028106404753915903,2.0,0.6877256072953641,candidate_legacy_spatial,2,768,confirmation,0.0917801484686158,0.2,points,0.6877256072953641,9201101,1.0,,0.9592471893951773,OK,0.1387978921850029,0.14583333333333334,0.0546875,0.2144476378549788
0.5027011932490072,s9201101_g2_n1_p0.2_l0,0.9010416666666666,0.22811878675070857,0.0,0,0.000736555508721537,2.0,0.6453473494030871,candidate_retained,2,768,confirmation,0.07973244018828435,0.2,points,0.6453473494030871,9201101,1.0,,0.9169005450667815,OK,0.06522990483170847,0.13020833333333334,0.0703125,0.18516929272347732
0.7805223880850287,s9201101_g2_n1_p0.2_l0,0.7018229166666666,0.16747747366639876,0.0,,,2.0,0.9682374915745877,identity,0,768,confirmation,,0.2,points,0.9682374915745877,9201101,1.0,,0.010468909949711946,OK,0.6416053802887683,0.2994791666666667,0.09895833333333334,0.677507727846949
0.10444120792533212,s9201101_g2_n1_p0.2_l1,0.984375,0.02923135496425399,1.0,0,0.06525621867631148,2.0,0.2634827380641924,v18_map,2,768,confirmation,0.009359819266077577,0.2,points,0.2634827380641924,9201101,1.0,,0.08960129811850259,OK,0.04729639821245357,0.1953125,0.005208333333333343,0.05680759146037748
0.09576785196245315,s9201101_g2_n1_p0.2_l1,0.9856770833333334,0.025984601717500742,1.0,0,0.05774974323771653,2.0,0.25184925857475515,old_crossfit_gate_map,2,768,confirmation,0.010557731947734105,0.2,points,0.25184925857475515,9201101,1.0,,0.08141770470328913,OK,0.04568407008978495,0.19661458333333334,0.00390625,0.05286354292549997
0.10444120944823915,s9201101_g2_n1_p0.2_l1,0.984375,0.02923135496425399,1.0,0,0.06525621673367299,2.0,0.2634827381963711,old_insample_gate_map,2,768,confirmation,0.009359819258008118,0.2,points,0.2634827381963711,9201101,1.0,,0.08960129746341883,OK,0.04729639946365235,0.1953125,0.005208333333333343,0.05680759267073485
0.10444120944823915,s9201101_g2_n1_p0.2_l1,0.984375,0.02923135496425399,1.0,0,0.06525621673367299,2.0,0.2634827381963711,repaired_insample_map,2,768,confirmation,0.009359819258008118,0.2,points,0.2634827381963711,9201101,1.0,,0.08960129746341883,OK,0.04729639946365235,0.1953125,0.005208333333333343,0.05680759267073485
0.09576785196245315,s9201101_g2_n1_p0.2_l1,0.9856770833333334,0.025984601717500742,1.0,0,0.05774974323771653,2.0,0.25184925857475515,repaired_crossfit_map,2,768,confirmation,0.010557731947734105,0.2,points,0.25184925857475515,9201101,1.0,,0.08141770470328913,OK,0.04568407008978495,0.19661458333333334,0.00390625,0.05286354292549997
0.6082832177651523,s9201101_g2_n1_p0.2_l1,0.9635416666666666,0.08361182791150218,1.0,1,2.0,2.0,0.562659464003622,candidate_pool_S,1,768,confirmation,0.20052083333333334,0.2,points,0.562659464003622,9201101,1.0,,1.0012340149808243,OK,0.473973810696594,0.171875,0.028645833333333343,0.4757537416766528
0.4757109177262599,s9201101_g2_n1_p0.2_l1,0.9270833333333334,0.04639578662379965,1.0,0,0.9292984952027952,2.0,0.5606411359358056,candidate_pool_C,2,768,confirmation,0.4074614892266612,0.2,points,0.5606411359358056,9201101,1.0,,0.7747288298668589,OK,0.43077226943092617,0.26171875,0.06119791666666666,0.44604100131631813
0.10444120792533212,s9201101_g2_n1_p0.2_l1,0.984375,0.02923135496425399,1.0,0,0.06525621867631148,2.0,0.2634827380641924,candidate_pool_L,2,768,confirmation,0.009359819266077577,0.2,points,0.2634827380641924,9201101,1.0,,0.08960129811850259,OK,0.04729639821245357,0.1953125,0.005208333333333343,0.05680759146037748
0.090345147518963,s9201101_g2_n1_p0.2_l1,0.98828125,0.02192351622319049,1.0,0,0.06846636017478547,2.0,0.23007684275855783,candidate_pool_R,2,768,confirmation,0.007723611223055743,0.2,points,0.23007684275855783,9201101,1.0,,0.06170022600442526,OK,0.04821053515527816,0.19661458333333334,0.00390625,0.05529451873195117
0.28954973683781293,s9201101_g2_n1_p0.2_l1,0.98828125,0.019491095223994247,1.0,0,0.7790848298919981,2.0,0.3746251050978508,candidate_legacy_spatial,2,768,confirmation,0.3156904487252196,0.2,points,0.3746251050978508,9201101,1.0,,0.20132096107761055,OK,0.2846077947814107,0.19921875,0.0013020833333333426,0.2847375768248173
0.10444120792533212,s9201101_g2_n1_p0.2_l1,0.984375,0.02923135496425399,1.0,0,0.06525621867631148,2.0,0.2634827380641924,candidate_retained,2,768,confirmation,0.009359819266077577,0.2,points,0.2634827380641924,9201101,1.0,,0.08960129811850259,OK,0.04729639821245357,0.1953125,0.005208333333333343,0.05680759146037748
0.7705602321115488,s9201101_g2_n1_p0.2_l1,0.7109375,0.15772663818266425,1.0,,,2.0,0.9682374915745877,identity,0,768,confirmation,,0.2,points,0.9682374915745877,9201101,1.0,,0.018047930202852003,OK,0.6428483352543329,0.296875,0.09635416666666666,0.6822977356933124
0.3692712965197066,s9201101_g2_n1_p0.5_l0,0.85546875,0.15625,0.0,0,0.012886660087872759,2.0,0.791563203361696,v18_map,2,768,confirmation,0.10653396913526968,0.5,points,0.791563203361696,9201101,1.0,,0.6292001275467247,OK,0.06955972392377198,0.5208333333333334,0.02083333333333337,0.10400694345830591
0.3547931467667096,s9201101_g2_n1_p0.5_l0,0.8619791666666666,0.14973958333333331,0.0,0,0.018663132288795126,2.0,0.7739089386973395,old_crossfit_gate_map,2,768,confirmation,0.10665129515325833,0.5,points,0.7739089386973395,9201101,1.0,,0.6074139481970877,OK,0.06801390505549916,0.5143229166666666,0.01432291666666663,0.09164667300219657
0.3692712949194793,s9201101_g2_n1_p0.5_l0,0.85546875,0.15625,0.0,0,0.012886660003613715,2.0,0.7915632032076577,old_insample_gate_map,2,768,confirmation,0.10653396910513864,0.5,points,0.7915632032076577,9201101,1.0,,0.6292001279683366,OK,0.06955972205965033,0.5208333333333334,0.02083333333333337,0.10400694181900413
0.3692712949194793,s9201101_g2_n1_p0.5_l0,0.85546875,0.15625,0.0,0,0.012886660003613715,2.0,0.7915632032076577,repaired_insample_map,2,768,confirmation,0.10653396910513864,0.5,points,0.7915632032076577,9201101,1.0,,0.6292001279683366,OK,0.06955972205965033,0.5208333333333334,0.02083333333333337,0.10400694181900413
0.3547931470240964,s9201101_g2_n1_p0.5_l0,0.8619791666666666,0.14973958333333331,0.0,0,0.0186631324839599,2.0,0.7739089386631086,repaired_crossfit_map,2,768,confirmation,0.10665129518941178,0.5,points,0.7739089386631086,9201101,1.0,,0.6074139483238594,OK,0.06801390544922771,0.5143229166666666,0.01432291666666663,0.09164667335102433
0.9970081904226396,s9201101_g2_n1_p0.5_l0,0.5130208333333334,0.48697916666666663,0.0,1,2.0,2.0,1.00118087257129,candidate_pool_S,1,768,confirmation,0.5,0.5,points,1.00118087257129,9201101,1.0,,1.994016380845279,OK,0.9229845323887017,0.4244791666666667,0.07552083333333331,0.9249010644532047
0.3692712965197066,s9201101_g2_n1_p0.5_l0,0.85546875,0.15625,0.0,0,0.012886660087872759,2.0,0.791563203361696,candidate_pool_C,2,768,confirmation,0.10653396913526968,0.5,points,0.791563203361696,9201101,1.0,,0.6292001275467247,OK,0.06955972392377198,0.5208333333333334,0.02083333333333337,0.10400694345830591
0.35449837322237326,s9201101_g2_n1_p0.5_l0,0.8541666666666666,0.15885416666666669,0.0,0,0.006544163597247188,2.0,0.7958680095577794,candidate_pool_L,2,768,confirmation,0.10741181981210844,0.5,points,0.7958680095577794,9201101,1.0,,0.6383224442040341,OK,0.04554499199360879,0.5208333333333334,0.02083333333333337,0.08373496601749486
0.4807144823701319,s9201101_g2_n1_p0.5_l0,0.8268229166666666,0.18098958333333334,0.0,0,0.013719103171702773,2.0,0.8276666768661876,candidate_pool_R,2,768,confirmation,0.12194938539502072,0.5,points,0.8276666768661876,9201101,1.0,,0.7221149761247758,OK,0.1779679970405348,0.43359375,0.06640625,0.24888165980818344
0.4829473836882789,s9201101_g2_n1_p0.5_l0,0.8268229166666666,0.1796875,0.0,0,0.014688488225599095,2.0,0.82452989960499,candidate_legacy_spatial,2,768,confirmation,0.12294926052512233,0.5,points,0.82452989960499,9201101,1.0,,0.7160608994158235,OK,0.18511838563730718,0.4375,0.0625,0.24932835183550658
0.3692712965197066,s9201101_g2_n1_p0.5_l0,0.85546875,0.15625,0.0,0,0.012886660087872759,2.0,0.791563203361696,candidate_retained,2,768,confirmation,0.10653396913526968,0.5,points,0.791563203361696,9201101,1.0,,0.6292001275467247,OK,0.06955972392377198,0.5208333333333334,0.02083333333333337,0.10400694345830591
0.7800528421610249,s9201101_g2_n1_p0.5_l0,0.7018229166666666,0.15364583333333331,0.0,,,2.0,0.9682374915745877,identity,0,768,confirmation,,0.5,points,0.9682374915745877,9201101,1.0,,0.032133100008461035,OK,0.6440733837612398,0.5130208333333334,0.01302083333333337,0.6444479527551685
