phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,bias,retain,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
bridge,bridge,s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,identity,OK,1.7894574649981223,0,0.25,,False,0.7512226809213298,0.7512226809213298,0.9623878727066071,0.71875,,,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,old_spatial36,OK,1.7894627210043836,0,0.25,,False,0.1287512062219001,0.1287512062219001,0.155026706254506,1.0,1,2.5072109772793276e-18,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,retained_half,OK,1.7894662079997943,0,0.25,S,False,0.1287512062219001,0.1287512062219001,0.155026706254506,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,retained_map,OK,1.7894648779983982,0,0.25,S,False,0.1287512062219001,0.1287512062219001,0.155026706254506,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,retained_mean,OK,1.7894672850015922,0,0.25,S,False,0.1287512062219001,0.1287512062219001,0.155026706254506,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,v17_map,OK,1.7894638819998363,0,0.25,,False,0.1287512062219001,0.1287512062219001,0.155026706254506,1.0,1,2.5072109772793276e-18,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,identity,OK,2.3614239480011747,0,1.0,,False,0.7814286805300629,0.7814286805300629,0.9734531276283244,0.7109375,,,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,old_spatial36,OK,2.361428682997939,0,1.0,,False,0.031931167413863655,0.031931167413863655,0.03962297202576371,1.0,1,1.383273256567257e-17,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,retained_half,OK,2.3614310010016197,0,1.0,S,False,0.031931167413863655,0.031931167413863655,0.03962297202576372,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,retained_map,OK,2.361430413002381,0,1.0,S,False,0.031931167413863655,0.031931167413863655,0.03962297202576372,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,retained_mean,OK,2.3614316539969877,0,1.0,S,False,0.031931167413863655,0.031931167413863655,0.03962297202576372,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,v17_map,OK,2.361429673997918,0,1.0,,False,0.031931167413863655,0.031931167413863655,0.03962297202576371,1.0,1,1.383273256567257e-17,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,identity,OK,1.8443094769972959,4,0.25,,False,3.4798907801383976,3.4798907801383976,4.121020584076012,0.17708333333333334,,,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,old_spatial36,OK,1.8443145669953083,4,0.25,,False,0.20384086878492794,0.20384086878492794,0.22373228189798208,1.0,1,2.7014633591434684e-18,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,retained_half,OK,1.8443177359949914,4,0.25,S,False,0.203840868784928,0.203840868784928,0.22373228189798214,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,retained_map,OK,1.8443167820005328,4,0.25,S,False,0.203840868784928,0.203840868784928,0.22373228189798214,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,retained_mean,OK,1.8443186779986718,4,0.25,S,False,0.203840868784928,0.203840868784928,0.22373228189798214,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,v17_map,OK,1.844315842994547,4,0.25,,False,0.203840868784928,0.203840868784928,0.22373228189798214,1.0,1,2.7014633591434684e-18,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,identity,OK,2.315783840000222,4,1.0,,False,3.4665029042433773,3.4665029042433773,4.107085467483158,0.19270833333333334,,,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,old_spatial36,OK,2.315788050997071,4,1.0,,False,0.031928587033297894,0.031928587033297894,0.05197049916818192,1.0,1,1.0557643764090716e-17,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,retained_half,OK,2.315790474996902,4,1.0,S,False,0.03192858703329792,0.03192858703329792,0.05197049916818194,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,retained_map,OK,2.3157897609999054,4,1.0,S,False,0.03192858703329792,0.03192858703329792,0.05197049916818194,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,retained_mean,OK,2.315791237997473,4,1.0,S,False,0.03192858703329792,0.03192858703329792,0.05197049916818194,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,v17_map,OK,2.3157890110014705,4,1.0,,False,0.03192858703329792,0.03192858703329792,0.05197049916818194,1.0,1,1.0557643764090716e-17,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,identity,OK,1.9167749410044053,0,0.25,,False,1.5024453618426596,1.5024453618426596,1.9247757454132142,0.4375,,,,,,
