case,domain,method,output,output_sha256,prepare_seconds,decode_seconds,association_change_fraction,fallback_components,gap_mm,amplitude_mm,surface_accuracy_mean_mm,surface_accuracy_p95_mm,matched_point_rms_mm
dual_g8_s9134101_b4_a0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a0__bias_only.npz,04d4d7ea1c40b8528b2c2104b4369d66d7e450572aebfebf7c1cd234e66d7d10,,,,,8,0,0.8296645708118174,1.9653959253902118,1.0910330839750655
dual_g8_s9134101_b4_a0,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a0__old_original.npz,ae8c923937a54f158dc250ff8534e72528881f935533c937ea23a0be17ee9030,,,0.0,,8,0,0.25797371119526225,1.0947477491303805,0.6537561920649384
dual_g8_s9134101_b4_a0,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a0__whole_spatial.npz,e36cef1652638aa036a601ea05e0c2a32a68b43ef5293bfd056dda46073aed67,,,,,8,0,0.08658032242703338,0.12575267097674248,0.47222561949548614
dual_g8_s9134101_b4_a0,synthetic,local_spatial_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a0__local_spatial_96.npz,2723404dc4b63737fd0b43226eabdbd4334be8b0be89dcb06047450df8435459,,,,,8,0,0.40635764795912466,1.800075685613142,0.7941501343412323
dual_g8_s9134101_b4_a0,synthetic,apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a0__apss_2.npz,981107533a4a592f3dc6d589101fb0261f95ce891aeb2749100bfee68fa0e713,,,,,8,0,0.45207901989968485,1.107010159564622,0.7123830871541462
dual_g8_s9134101_b4_a0,synthetic,rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a0__rimls_2.npz,8e9aa917a579b57b7c879165391f619915510d3bfcba6bd215fa089d68d356f8,,,,,8,0,0.46856972701496424,1.1284080943339527,0.7273882415912521
dual_g8_s9134101_b4_a2,synthetic,global_hard,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__global_hard.npz,5c2df723986020110d576150eedea803963912abe82df1740f66cac0b0efdf26,0.03909693899993272,0.00014768799997000315,0.0,0,8,2,0.19984428306327495,0.4322621808406162,0.5373067533052087
dual_g8_s9134101_b4_a2,synthetic,atlas_hard_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__atlas_hard_96.npz,6e622af1725cc078b2191fb2298b44e4fad81c4be7c2d862117c08ae25d22c30,0.03909693899993272,0.0021978320000926033,0.0,11,8,2,0.19401238680117724,0.5051262997266797,0.5434988295479207
dual_g8_s9134101_b4_a2,synthetic,atlas_hard_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__atlas_hard_256.npz,0a392b6f2f7702b83c4417414bda5668225a1ea10aa13d24688e6608e11f3943,0.03909693899993272,0.0012566000000333588,0.0,2,8,2,0.18362606154885844,0.4068217960619083,0.532265874335219
dual_g8_s9134101_b4_a2,synthetic,atlas_tied_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__atlas_tied_96.npz,160d4c7de7e4c441e566165a7a0f7a8c6bb268a21b63b47db48047e535cf0407,0.03909693899993272,0.0017170739999983198,0.0,11,8,2,0.18153255850814035,0.43368193737082134,0.5345775135291008
