phase,case,seed,gap,sigma,supplied_sigma,ratio,dependence,sigma_factor,kind,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,bias,retain
confirmation,s9191101_g2_n1_p0.8_l1,9191101,2.0,1.0,1.0,0.8,1.0,1.0,statistical,a_crossfit_gate_map,OK,2.950234764997731,0.05728756525992556,0.1313438845350763,0.08212599203520407,points,2,768,0.2713220490701453,0.2713220490701453,0.984375,,0.015880774840640224,0.8138020833333334,0.01432291666666674,0.13532811833357172,0.043836456702906215,0.11019551874193878,0,,
confirmation,s9191101_g2_n1_p0.8_l1,9191101,2.0,1.0,1.0,0.8,1.0,1.0,statistical,a_insample_gate_map,OK,2.9502398260083282,0.05214420264356331,0.1252907344991681,0.07962859943564397,points,2,768,0.2616739003914367,0.2616739003914367,0.9856770833333334,,0.013791082111251263,0.8151041666666666,0.015625,0.13675316228055712,0.04302212445534921,0.1019548042071976,0,,
confirmation,s9191101_g2_n2_p0.2_l0,9191101,2.0,2.0,2.0,0.2,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.782038987003034,0.5536965448653053,0.9924087211450041,0.7787375370335587,points,2,768,1.1287289170164003,1.1287289170164003,0.6484375,,0.23166845072711637,0.4661458333333333,0.265625,1.260048240692631,0.3285671982740387,0.10086240497951948,0,,
confirmation,s9191101_g2_n2_p0.2_l0,9191101,2.0,2.0,2.0,0.2,0.0,1.0,statistical,a_insample_gate_map,OK,2.782044349994976,0.5507836955740585,0.981368765478053,0.8066670846825419,points,2,768,1.1459519019976478,1.1459519019976478,0.6471354166666666,,0.22511096553721344,0.4752604166666667,0.27473958333333337,1.2118506284689277,0.32208426752400693,0.16212865236852103,0,,
confirmation,s9191101_g2_n2_p0.2_l0_sf0.8,9191101,2.0,2.0,1.6,0.2,0.0,0.8,sigma_stress,a_crossfit_gate_map,OK,2.727112334992853,0.5944020656881738,1.0837949638237852,1.1400905762458602,points,2,768,1.5129698421940951,1.5129698421940951,0.2109375,,0.27109072676847873,0.4908854166666667,0.29036458333333337,0.8188017446090039,0.31155082702313974,1.0961112475226038,0,,
confirmation,s9191101_g2_n2_p0.2_l0_sf0.8,9191101,2.0,2.0,1.6,0.2,0.0,0.8,sigma_stress,a_insample_gate_map,OK,2.727116877998924,0.5879465245251048,1.077132059451455,1.1490555866147023,points,2,768,1.5161524228101044,1.5161524228101044,0.19791666666666666,,0.2698373220784443,0.49609375,0.29557291666666663,0.8116288692533153,0.3107470705190575,1.1047881760981504,0,,
confirmation,s9191101_g2_n2_p0.2_l0_sf1.2,9191101,2.0,2.0,2.4,0.2,0.0,1.2,sigma_stress,a_crossfit_gate_map,OK,0.007995991996722296,0.4092291859332657,0.9900402610072077,0.5891559116223896,points,1,768,0.7992452727395134,0.7992452727395134,0.7994791666666666,,0.20052083333333334,0.0,0.20052083333333334,1.980080522014415,0.5,2.0,1,,
confirmation,s9191101_g2_n2_p0.2_l0_sf1.2,9191101,2.0,2.0,2.4,0.2,0.0,1.2,sigma_stress,a_insample_gate_map,OK,0.007999406996532343,0.4092291859332657,0.9900402610072077,0.5891559116223896,points,1,768,0.7992452727395134,0.7992452727395134,0.7994791666666666,,0.20052083333333334,0.0,0.20052083333333334,1.980080522014415,0.5,2.0,1,,
confirmation,s9191101_g2_n2_p0.2_l1,9191101,2.0,2.0,2.0,0.2,1.0,1.0,statistical,a_crossfit_gate_map,OK,3.162529169989284,0.23787189536808914,0.5544489445420633,0.2791520252789248,points,2,768,0.5541408536287895,0.5541408536287895,0.9661458333333334,,0.027300253903804753,0.17578125,0.024739583333333343,0.3510700198535339,0.07793265366555269,1.0805394482369688,0,,
confirmation,s9191101_g2_n2_p0.2_l1,9191101,2.0,2.0,2.0,0.2,1.0,1.0,statistical,a_insample_gate_map,OK,3.1625340189930284,0.2565822886306126,0.5551980489130217,0.2882837217996952,points,2,768,0.5597851661241894,0.5597851661241894,0.96875,,0.023217492689606767,0.18098958333333334,0.01953125,0.4025592703304657,0.06900672617284995,1.1538342734618285,0,,
confirmation,s9191101_g2_n2_p0.2_l1_sf0.8,9191101,2.0,2.0,1.6,0.2,1.0,0.8,sigma_stress,a_crossfit_gate_map,OK,2.7762805789971026,0.7799948990193006,1.3272070374282563,1.058963812314176,points,2,768,1.4502494099405305,1.4502494099405305,0.34765625,,0.27597616836039984,0.4427083333333333,0.24218749999999997,0.19580767502234453,0.36670332924404586,1.0256626067436518,0,,
confirmation,s9191101_g2_n2_p0.2_l1_sf0.8,9191101,2.0,2.0,1.6,0.2,1.0,0.8,sigma_stress,a_insample_gate_map,OK,2.776286952008377,0.7907868965385195,1.333570681153149,1.0659009918331086,points,2,768,1.4551332563744006,1.4551332563744006,0.3372395833333333,,0.27934111733759653,0.4466145833333333,0.24609374999999997,0.19809454386129888,0.3691463259867169,1.0386384524705323,0,,
confirmation,s9191101_g2_n2_p0.2_l1_sf1.2,9191101,2.0,2.0,2.4,0.2,1.0,1.2,sigma_stress,a_crossfit_gate_map,OK,2.8300948579999385,0.4077270309235635,0.45912680235167147,0.43006372875535326,points,2,768,0.547586361602849,0.547586361602849,0.9192708333333334,,0.10882192925719754,0.2630208333333333,0.06249999999999997,0.7053167997332419,0.08375988832014891,1.256025784474676,0,,
confirmation,s9191101_g2_n2_p0.2_l1_sf1.2,9191101,2.0,2.0,2.4,0.2,1.0,1.2,sigma_stress,a_insample_gate_map,OK,2.830100064005819,0.17943175532167266,0.3925058105212959,0.200032408913884,points,2,768,0.42389435539368003,0.42389435539368003,0.9778645833333334,,0.01745307767101084,0.18880208333333334,0.01171875,0.3489900975404856,0.04546512119802022,0.7982353878558262,0,,
confirmation,s9191101_g2_n2_p0.5_l0,9191101,2.0,2.0,2.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.7519810140074696,0.1693036867775942,0.829634174496753,0.287299935205069,points,2,768,1.244855623586582,1.244855623586582,0.6953125,,0.2173388291908219,0.4322916666666667,0.06770833333333331,1.2213209332080133,0.3359375,0.3091087483406678,0,,
