case,seed,gap,sigma,bias,retain,phase,kind,supplied_sigma,sigma_factor,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,ratio,dependence
s9182101_g8_n0.5_b0_r1.0,9182101,8,0.5,0,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,3.0089686470018933,0.02589477486756604,0.023812635993574895,0.025894774867606746,points,2,768,0.07089734787202677,0.07089734787202677,0.9986979166666666,,6.924803276131832e-80,0.6380208333333334,0.0,0.047625271987149276,0.0,0.041835129504532276,0,,
s9182101_g8_n0.5_b0_r1.0,9182101,8,0.5,0,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,3.008973665011581,0.02589477486755078,0.0238126359935612,0.025894774867591487,points,2,768,0.07089734787202095,0.07089734787202095,0.9986979166666666,,8.020941577540965e-80,0.6380208333333334,0.0,0.04762527198712263,0.0,0.04183512950452695,0,,
s9182101_g8_n0.5_b4_r0.25,9182101,8,0.5,4,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.4435140660061734,0.3425853561613387,0.4080688660494803,0.34258535616135355,points,2,396,0.7991890844075201,0.7991890844075201,0.9747474747474747,,1.3016161981328705e-81,0.29797979797979796,0.0,0.28346326911582764,0.0,0.1799661450079384,0,,
s9182101_g8_n0.5_b4_r0.25,9182101,8,0.5,4,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.443519313004799,0.342585358921626,0.40806886867545866,0.34258535892164077,points,2,396,0.7991890852090515,0.7991890852090515,0.9747474747474747,,4.446132820916214e-82,0.29797979797979796,0.0,0.28346326845099945,0.0,0.1799661444045153,0,,
s9182101_g8_n0.5_b4_r1.0,9182101,8,0.5,4,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.9002996120107127,0.04320930453560604,0.04163993798831815,0.04320930453560952,points,2,768,0.28668942582560253,0.28668942582560253,0.9921875,,9.084291466242866e-80,0.6380208333333334,0.0,0.04186527864646905,0.0,0.04181908665771594,0,,
s9182101_g8_n0.5_b4_r1.0,9182101,8,0.5,4,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.900304378999863,0.04320930453560604,0.04163993798831815,0.04320930453560952,points,2,768,0.28668942582560253,0.28668942582560253,0.9921875,,7.96765819791819e-80,0.6380208333333334,0.0,0.04186527864646905,0.0,0.04181908665771594,0,,
s9182101_g8_n1.0_b0_r0.25,9182101,8,1.0,0,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.2657012160052545,0.11914234925920938,0.12474908379822253,0.11914234925922167,points,2,396,0.25036567907353563,0.25036567907353563,0.9873737373737373,,4.883928215848409e-15,0.29797979797979796,0.0,0.1081904134265379,0.0,0.38355085757711826,0,,
s9182101_g8_n1.0_b0_r0.25,9182101,8,1.0,0,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.2657061990030343,0.11914235380420513,0.12474908642576733,0.11914235380421742,points,2,396,0.25036568063235776,0.25036568063235776,0.9873737373737373,,1.8031001365219604e-15,0.29797979797979796,0.0,0.1081904094295858,0.0,0.3835509105669086,0,,
s9182101_g8_n1.0_b0_r1.0,9182101,8,1.0,0,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.8205321109999204,0.05851600389175581,0.05007612802311853,0.05851600389178159,points,2,768,0.15653429305423955,0.15653429305423955,0.9934895833333334,,7.197478190144242e-17,0.6380208333333334,0.0,0.07745408973696932,0.0,0.0775182771869325,0,,
s9182101_g8_n1.0_b0_r1.0,9182101,8,1.0,0,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.820537432009587,0.05851600389175581,0.05007612802311853,0.05851600389178159,points,2,768,0.15653429305423955,0.15653429305423955,0.9934895833333334,,2.8104094031954023e-17,0.6380208333333334,0.0,0.07745408973696932,0.0,0.0775182771869325,0,,
