case,seed,gap,sigma,bias,retain,phase,kind,supplied_sigma,sigma_factor,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,ratio,dependence
s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,0,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.5705923950008582,0.055949251009518544,0.06736214555235312,0.05594925100952306,points,2,428,0.1080438452375018,0.1080438452375018,0.9953271028037384,,0.00018287710113098438,0.25934579439252337,0.0,0.04742445499352588,0.0,0.06920317260843367,0,,
s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,0,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,3.1390793999889866,0.036255106000991445,0.039403034926383404,0.038638890298068614,points,2,768,0.10228405985040329,0.10228405985040329,0.9986979166666666,,0.0016294111266120194,0.5859375,0.0013020833333333703,0.04903572371613696,0.0011086474501108647,0.014241055514757628,0,,
s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,0,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,3.139084233000176,0.0366881802940313,0.03994733014625412,0.03906886013298593,points,2,768,0.10246533281691145,0.10246533281691145,0.9986979166666666,,0.0013818565549539852,0.5859375,0.0013020833333333703,0.049759473848265845,0.0011086474501108647,0.01212804983875837,0,,
s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,4,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.348294720010017,0.09756812129433655,0.15237244923168414,0.1060356627781473,points,2,428,0.5051126029563091,0.5051126029563091,0.9906542056074766,,0.00026439905854235024,0.2546728971962617,0.004672897196261683,0.07341410657699932,0.009009009009009009,0.0629776323102691,0,,
s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,4,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.3482992670033127,0.09811682905595472,0.1530362608336832,0.10656143624039813,points,2,428,0.5052177221371632,0.5052177221371632,0.9906542056074766,,0.00018352107595826016,0.2546728971962617,0.004672897196261683,0.07389240214673709,0.009009009009009009,0.06726106824323885,0,,
s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,4,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.8620358600019244,0.14351066495407994,0.16097894943744073,0.1786435259243655,points,2,768,0.8779918517001563,0.8779918517001563,0.97265625,,0.0016058594812448205,0.5638020833333334,0.0234375,0.11070987544396815,0.019955654101995565,0.01292542996873336,0,,
s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,4,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.8620404490065994,0.14391692746260398,0.1614670449285198,0.17901407571781253,points,2,768,0.8780110758156717,0.8780110758156717,0.97265625,,0.001428867366582519,0.5638020833333334,0.0234375,0.11136494870244218,0.019955654101995565,0.011006046269433911,0,,
s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,0,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.507130514990422,0.3597806683336713,0.3995743988146404,0.36347040454899326,points,2,428,0.4426177359862846,0.4426177359862846,0.9813084112149533,,0.23268847524621197,0.24065420560747663,0.01869158878504673,0.48836403218165425,0.036036036036036036,1.8629523412823639,0,,
s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,0,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.5071351769875037,0.08988427508175208,0.1250888651777364,0.07727443785729052,points,2,428,0.28255832370285744,0.28255832370285744,0.9906542056074766,,0.010279301876165778,0.2616822429906542,0.0023364485981308136,0.024809878764730176,0.01982266177849774,0.1624821533857772,0,,
s9182101_g2_n1.0_b0_r1.0,9182101,2,1.0,0,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,3.1364429110108176,0.08288030665658726,0.10076526878276607,0.07294552897322791,points,2,768,0.290074401202932,0.290074401202932,0.9856770833333334,,0.013974364265270753,0.5963541666666666,0.00911458333333326,0.14236706753401562,0.021784747529150085,0.027563664497338713,0,,
s9182101_g2_n1.0_b0_r1.0,9182101,2,1.0,0,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,3.1364471630076878,0.07833249814653238,0.09532045519728988,0.06890073665794293,points,2,768,0.2727129148840124,0.2727129148840124,0.9869791666666666,,0.012441589489999724,0.59375,0.00651041666666663,0.13479105299606275,0.01863017339665797,0.031395040831524224,0,,
s9182101_g2_n1.0_b4_r0.25,9182101,2,1.0,4,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.4688945840025553,0.2870665666078993,0.35500968537093414,0.30061852108235676,points,2,428,0.39415159803164224,0.39415159803164224,0.9719626168224299,,0.08162821057879054,0.22897196261682243,0.030373831775700938,0.3604061386028399,0.05855855855855856,1.0930340780591905,0,,
s9182101_g2_n1.0_b4_r0.25,9182101,2,1.0,4,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.4688999490026617,0.10468965971789657,0.13952325492474965,0.09207240657941776,points,2,428,0.29045760961123634,0.29045760961123634,0.9906542056074766,,0.010258899584866574,0.2616822429906542,0.0023364485981308136,0.02485718064996978,0.01982266177849774,0.16187385957002443,0,,
s9182101_g2_n1.0_b4_r1.0,9182101,2,1.0,4,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,3.123720739997225,0.08314025600125168,0.09872108852172197,0.07530321936774462,points,2,768,0.2892543659248425,0.2892543659248425,0.9869791666666666,,0.014116250930755844,0.59765625,0.01041666666666663,0.13791850518033444,0.02067610007903922,0.027383429173061025,0,,
s9182101_g2_n1.0_b4_r1.0,9182101,2,1.0,4,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,3.1237255209998693,0.07835976125710817,0.0952508143108905,0.06878291862048685,points,2,768,0.2817797634780213,0.2817797634780213,0.9869791666666666,,0.012455999230765347,0.59375,0.00651041666666663,0.13489433790991368,0.01863017339665797,0.031108583286899805,0,,
s9182101_g2_n2.0_b0_r0.25,9182101,2,2.0,0,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.005719284003134817,0.4025497014364577,0.42568687022441853,0.4036795625420202,points,1,428,0.4873868648783359,0.4873868648783359,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.5069250805323615,0.02252252252252252,2.0,1,,
s9182101_g2_n2.0_b0_r0.25,9182101,2,2.0,0,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.005722485002479516,0.4025497014364577,0.42568687022441853,0.4036795625420202,points,1,428,0.4873868648783359,0.4873868648783359,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.5069250805323615,0.02252252252252252,2.0,1,,
s9182101_g2_n2.0_b0_r1.0,9182101,2,2.0,0,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.1471886910003377,0.3414294613001874,0.3552979585784966,0.3378821930177922,points,2,768,0.4593565607214244,0.4593565607214244,0.953125,,0.09531090980147246,0.6354166666666666,0.04817708333333326,0.5583989318596592,0.06373149048381795,1.1308914929261111,0,,
s9182101_g2_n2.0_b0_r1.0,9182101,2,2.0,0,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.1471939780021785,0.16684096299599752,0.20937387124447393,0.13537419579008417,points,2,768,0.4562288484988513,0.4562288484988513,0.9700520833333334,,0.026867941885540748,0.59765625,0.01041666666666663,0.2242298052490963,0.04484951072625151,0.27185764553643477,0,,
s9182101_g2_n2.0_b4_r0.25,9182101,2,2.0,4,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.005676068991306238,0.4091290983008391,0.4288504873369081,0.40991759652044907,points,1,428,0.49707339479244134,0.49707339479244134,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.507025218366461,0.02252252252252252,2.0,1,,
