method,kind,field,allocation,seed,requested_budget_mm,actual_budget_mm,duplicate_budget,direction_informative,native_field_rms_mm,normalization_factor,status,displacement_rms_mm,displacement_p95_mm,displacement_max_mm,moved_fraction,case,scene,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,step
budget0.025__local_plane64__uniform,budget,local_plane64,uniform,,0.025,0.025,False,True,0.19283678442144817,0.1296433150708532,OK,0.0249999999999999,0.05100490040125332,0.07539368028523362,1.0,s24_confirm00,scan24,672,5100,0.23085378148210123,0.48241964204073834,0.5025001593437244,1.0,0.9552941176470588,0.9771359807460891,
budget0.025__multiscale_full__alpha,budget,multiscale_full,alpha,,0.025,0.025,False,True,0.04902906223438657,0.5099016554811083,OK,0.02500000000000025,0.0523319222705149,0.10796587301387427,1.0,s24_confirm00,scan24,672,5100,0.22938887559987525,0.47267957140777106,0.5003661305703563,1.0,0.9572549019607843,0.9781606892406332,
budget0.025__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.025,0.025,False,True,0.05444179916578572,0.4592059847961712,OK,0.024999999999999845,0.05243917645953163,0.12012235197485906,1.0,s24_confirm00,scan24,672,5100,0.22920402355027916,0.4715314379420919,0.5001775200319669,1.0,0.9576470588235294,0.9783653846153847,
budget0.025__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.025,0.025,False,True,0.05441149527312528,0.45946173459320294,OK,0.025000000000000282,0.05360555247073218,0.10879245148183009,1.0,s24_confirm00,scan24,672,5100,0.22921420254216016,0.47133034799824297,0.4999902946823705,1.0,0.957843137254902,0.9784677015523284,
budget0.025__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.025,0.025,False,True,0.0549811451507386,0.4547013331835661,OK,0.025000000000000137,0.0498758136650564,0.11880407574971562,1.0,s24_confirm00,scan24,672,5100,0.22925223029131148,0.4688358099899016,0.5000362111027724,1.0,0.9576470588235294,0.9783653846153847,
budget0.025__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.025,0.025,False,True,0.05412113621107894,0.4619267397213723,OK,0.025000000000000404,0.052243137385401234,0.11067173888311607,1.0,s24_confirm00,scan24,672,5100,0.22931924368585324,0.47066307993065365,0.5001099984571965,1.0,0.957843137254902,0.9784677015523284,
budget0.025__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.025,0.025,False,True,0.05399455143138882,0.46300968037057666,OK,0.02499999999999973,0.052536506585544165,0.11660301950290161,1.0,s24_confirm00,scan24,672,5100,0.22928683441358996,0.4714162506549541,0.5001715826702349,1.0,0.957843137254902,0.9784677015523284,
budget0.025__multiscale_full__uniform,budget,multiscale_full,uniform,,0.025,0.025,False,True,0.06466138055901012,0.3866295427637049,OK,0.025000000000000636,0.05257767504116639,0.10707458733689774,1.0,s24_confirm00,scan24,672,5100,0.2292582517476867,0.47151355923880395,0.5002363145015798,1.0,0.9574509803921568,0.9782630471802063,
budget0.025__quadratic64__uniform,budget,quadratic64,uniform,,0.025,0.025,False,True,0.07271446307347205,0.34381055629523843,OK,0.02500000000000007,0.05164202442211535,0.11526075974441853,1.0,s24_confirm00,scan24,672,5100,0.22908136795754286,0.4702901782306135,0.4997648826722113,1.0,0.9576470588235294,0.9783653846153847,
budget0.05__local_plane64__uniform,budget,local_plane64,uniform,,0.05,0.05,False,True,0.19283678442144817,0.2592866301417064,OK,0.05000000000000017,0.10200980080250593,0.15078736057045933,1.0,s24_confirm00,scan24,672,5100,0.23438150125385948,0.48621339138104125,0.5100631959975683,1.0,0.9505882352941176,0.9746682750301567,
budget0.05__multiscale_full__alpha,budget,multiscale_full,alpha,,0.05,0.05,False,True,0.04902906223438657,1.0198033109622167,OK,0.049999999999999954,0.10466384454102982,0.2159317460277487,1.0,s24_confirm00,scan24,672,5100,0.2310667086489869,0.48171393987325195,0.5045950530243727,1.0,0.9537254901960784,0.9763147330389402,
budget0.05__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.05,0.05,False,True,0.05444179916578572,0.9184119695923424,OK,0.05000000000000013,0.10487835291905928,0.24024470394972472,1.0,s24_confirm00,scan24,672,5100,0.2310033539896788,0.48034382489387645,0.5044218703260892,1.0,0.9537254901960784,0.9763147330389402,
budget0.05__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.05,0.05,False,True,0.05441149527312528,0.9189234691864059,OK,0.05000000000000059,0.10721110494145639,0.21758490296366018,1.0,s24_confirm00,scan24,672,5100,0.23075164053460226,0.4806005537206992,0.5039522552208396,1.0,0.9543137254901961,0.9766228554228956,
budget0.05__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.05,0.05,False,True,0.0549811451507386,0.9094026663671322,OK,0.05000000000000002,0.09975162733013711,0.23760815149944164,1.0,s24_confirm00,scan24,672,5100,0.23080372539844124,0.47825875105459636,0.5041665741319574,1.0,0.953921568627451,0.9764174611138986,
budget0.05__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.05,0.05,False,True,0.05412113621107894,0.9238534794427447,OK,0.04999999999999999,0.10448627477079513,0.22134347776624508,1.0,s24_confirm00,scan24,672,5100,0.23078832209988248,0.4785998876179848,0.5042380931655154,1.0,0.9535294117647058,0.9762119843420656,
budget0.05__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.05,0.05,False,True,0.05399455143138882,0.9260193607411533,OK,0.05000000000000002,0.10507301317108639,0.23320603900580902,1.0,s24_confirm00,scan24,672,5100,0.2309175617104422,0.47989087670985625,0.5043781357603446,1.0,0.9537254901960784,0.9763147330389402,
budget0.05__multiscale_full__uniform,budget,multiscale_full,uniform,,0.05,0.05,False,True,0.06466138055901012,0.7732590855274099,OK,0.0500000000000002,0.10515535008233293,0.2141491746737955,1.0,s24_confirm00,scan24,672,5100,0.23093516272166653,0.4807087206877472,0.5046325972647614,1.0,0.953921568627451,0.9764174611138986,
budget0.05__quadratic64__uniform,budget,quadratic64,uniform,,0.05,0.05,False,True,0.07271446307347205,0.6876211125904769,OK,0.05000000000000042,0.10328404884421523,0.23052151948883706,1.0,s24_confirm00,scan24,672,5100,0.23053393846146475,0.4783875228478038,0.5037526844210023,1.0,0.9549019607843138,0.9769307923771313,
budget0.1__local_plane64__uniform,budget,local_plane64,uniform,,0.1,0.06466138055901012,False,True,0.19283678442144817,0.33531662930912365,OK,0.06466138055901022,0.13192189100879806,0.19500237810671,1.0,s24_confirm00,scan24,672,5100,0.23669928674402999,0.49641738292870463,0.5147744840551316,1.0,0.9486274509803921,0.9736365465888508,
budget0.1__multiscale_full__alpha,budget,multiscale_full,alpha,,0.1,0.06466138055901012,False,True,0.04902906223438657,1.3188377997093286,OK,0.06466138055900987,0.13535417365272495,0.279248896093415,1.0,s24_confirm00,scan24,672,5100,0.23211803035976666,0.4832274675435869,0.50663118557625,1.0,0.9515686274509804,0.9751833618004621,
budget0.1__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.1,0.06466138055901012,False,True,0.05444179916578572,1.1877157175152095,OK,0.06466138055901001,0.13563158181003593,0.31069108458759215,1.0,s24_confirm00,scan24,672,5100,0.23219489144187028,0.4829222273819226,0.5066297184679714,1.0,0.9519607843137254,0.9753892516323456,
budget0.1__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.1,0.06466138055901012,False,True,0.05441149527312528,1.18837720291336,OK,0.06466138055901009,0.13864836113543488,0.28138680428855817,1.0,s24_confirm00,scan24,672,5100,0.23190849145605438,0.4835497455077924,0.5059807219803873,1.0,0.9525490196078431,0.9756979313115083,
budget0.1__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.1,0.06466138055901012,False,True,0.0549811451507386,1.1760646378268729,OK,0.06466138055901006,0.1290015587234843,0.307281422160556,1.0,s24_confirm00,scan24,672,5100,0.23181868644449755,0.4822265122033886,0.5063125688015966,1.0,0.9519607843137254,0.9753892516323456,
budget0.1__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.1,0.06466138055901012,False,True,0.05412113621107894,1.1947528283002589,OK,0.06466138055900952,0.13512453552295486,0.2862474970019582,1.0,s24_confirm00,scan24,672,5100,0.23190543165885444,0.47986295300954984,0.5063647756340032,1.0,0.9523529411764706,0.9755950587526363,
budget0.1__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.1,0.06466138055901012,False,True,0.05399455143138882,1.1975538057978998,OK,0.06466138055901026,0.13588332182276763,0.3015884887362755,1.0,s24_confirm00,scan24,672,5100,0.23216802424667177,0.4832957946118144,0.5065406877311497,1.0,0.952156862745098,0.9754921655283246,
budget0.1__multiscale_full__uniform,budget,multiscale_full,uniform,,0.1,0.06466138055901012,False,True,0.06466138055901012,1.0,OK,0.06466138055901012,0.1359898021897933,0.27694362559961505,1.0,s24_confirm00,scan24,672,5100,0.23207616175676288,0.4827583257901348,0.5069389616472443,1.0,0.951764705882353,0.975286317058469,
budget0.1__quadratic64__uniform,budget,quadratic64,uniform,,0.1,0.06466138055901012,False,True,0.07271446307347205,0.8892506088324554,OK,0.06466138055901019,0.1335697837598387,0.29811679397419527,1.0,s24_confirm00,scan24,672,5100,0.23138096781626213,0.4837203321533827,0.5058688385488809,1.0,0.9533333333333334,0.9761092150170648,
native__apss2,native,apss2,cached,,,,,,,,OK,0.022041863968633543,0.04714923333056068,0.09873721715767834,1.0,s24_confirm00,scan24,672,5100,0.22860265119639944,0.47094073997909797,0.4994012771343053,1.0,0.9574509803921568,0.9782630471802063,
native__identity,native,identity,cached,,,,,,,,OK,0.0,0.0,0.0,0.0,s24_confirm00,scan24,672,5100,0.2282173652476734,0.4708929398157796,0.49558790089336996,1.0,0.9584313725490196,0.9787745294353223,
native__local_plane64,native,local_plane64,cached,,,,,,,,OK,0.1928367844214482,0.39342483932457006,0.5815469948761263,1.0,s24_confirm00,scan24,672,5100,0.258687284136587,0.5636036044593205,0.5620118102918663,1.0,0.903921568627451,0.9495365602471679,
native__multiscale_consensus,native,multiscale_consensus,cached,,,,,,,,OK,0.049029062234386446,0.10263140295384053,0.21173862028747276,1.0,s24_confirm00,scan24,672,5100,0.23099753409500506,0.48149715314573965,0.5044477370045819,1.0,0.9537254901960784,0.9763147330389402,
native__multiscale_full,native,multiscale_full,cached,,,,,,,,OK,0.06466138055901012,0.1359898021897933,0.27694362559961505,1.0,s24_confirm00,scan24,672,5100,0.23207616175676288,0.4827583257901348,0.5069389616472443,1.0,0.951764705882353,0.975286317058469,
native__multiscale_matched,native,multiscale_matched,cached,,,,,,,,OK,0.049029062234386404,0.10311336406930216,0.20999066425048046,1.0,s24_confirm00,scan24,672,5100,0.23086010222396788,0.4807458554317042,0.5044718533828386,1.0,0.953921568627451,0.9764174611138986,
native__quadratic64,native,quadratic64,cached,,,,,,,,OK,0.07271446307347205,0.15020488311523544,0.3352449703302513,1.0,s24_confirm00,scan24,672,5100,0.23187565094756657,0.4833964693633977,0.506945549688007,1.0,0.9533333333333334,0.9761092150170648,
native__rimls2,native,rimls2,cached,,,,,,,,OK,0.022353094506381593,0.04692211212516797,0.08593337999305173,1.0,s24_confirm00,scan24,672,5100,0.2277546987198907,0.4666501091534836,0.4968396648454644,1.0,0.9584313725490196,0.9787745294353223,
native__v18,native,v18,cached,,,,,,,,OK,0.3676950776494106,0.6237660337641558,1.0919663711506327,1.0,s24_confirm00,scan24,672,5100,0.29082967631972795,0.6817993208589157,0.6164012594210674,0.9985119047619048,0.855686274509804,0.9215982858693114,
probe_t0.5,probe,multiscale_full,fixed_step,,,,,,,,OK,0.03233069027950456,0.06799490109489988,0.13847181279980103,1.0,s24_confirm00,scan24,672,5100,0.2296860571518645,0.4738591990033239,0.501559171895196,1.0,0.956078431372549,0.9775461106655974,0.5
probe_t1,probe,multiscale_full,fixed_step,,,,,,,,OK,0.06466138055901012,0.1359898021897933,0.27694362559961505,1.0,s24_confirm00,scan24,672,5100,0.23207616175676288,0.4827583257901348,0.5069389616472443,1.0,0.951764705882353,0.975286317058469,1.0
budget0.025__local_plane64__uniform,budget,local_plane64,uniform,,0.025,0.025,False,True,0.16721645608859284,0.14950681640301458,OK,0.025000000000000164,0.018326667570753623,0.737478941468862,1.0,s24_confirm01,scan24,656,6799,0.1313874951217305,0.193902957810858,0.3365581678751135,1.0,1.0,1.0,
budget0.025__multiscale_full__alpha,budget,multiscale_full,alpha,,0.025,0.025,False,True,0.057629000484566664,0.43380936316421326,OK,0.024999999999999804,0.036648608642038664,0.49977314904255427,1.0,s24_confirm01,scan24,656,6799,0.13167447935000112,0.1943423220204734,0.33584653805639036,1.0,1.0,1.0,
budget0.025__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.025,0.025,False,True,0.13927069017931928,0.17950654202841257,OK,0.025000000000000352,0.015923440212191234,0.754728072380432,1.0,s24_confirm01,scan24,656,6799,0.13128174856949779,0.19386144547527007,0.3368463742549452,1.0,1.0,1.0,
budget0.025__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.025,0.025,False,True,0.149111515228374,0.16765975425647628,OK,0.025000000000000147,0.014623603043633112,0.7608767632316036,1.0,s24_confirm01,scan24,656,6799,0.13127250120317227,0.19395609958089285,0.33689542746364737,1.0,1.0,1.0,
budget0.025__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.025,0.025,False,True,0.14361897016393058,0.17407171191566354,OK,0.02499999999999968,0.015765661582034133,0.756900149440039,1.0,s24_confirm01,scan24,656,6799,0.13130049180824707,0.19380894961539902,0.33684948295048844,1.0,1.0,1.0,
budget0.025__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.025,0.025,False,True,0.1517497556323305,0.16474491109278408,OK,0.02500000000000014,0.014656656942663559,0.7620561412785682,1.0,s24_confirm01,scan24,656,6799,0.1312791615327209,0.19405003697421758,0.3368956146659842,1.0,1.0,1.0,
budget0.025__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.025,0.025,False,True,0.15185502892255048,0.1646307019094545,OK,0.025000000000000383,0.014512007299413748,0.7621354685525837,1.0,s24_confirm01,scan24,656,6799,0.13127735000394458,0.1937881935517675,0.33691202576475976,1.0,1.0,1.0,
budget0.025__multiscale_full__uniform,budget,multiscale_full,uniform,,0.025,0.025,False,True,0.1624224402096147,0.15391961829742362,OK,0.02500000000000018,0.01517240489254118,0.7568515644046924,1.0,s24_confirm01,scan24,656,6799,0.1312985428693614,0.19390747735257488,0.3368614950130258,1.0,1.0,1.0,
budget0.025__quadratic64__uniform,budget,quadratic64,uniform,,0.025,0.025,False,True,0.1637761207154302,0.1526474060491324,OK,0.024999999999999734,0.016386163645585046,0.7502139822528926,1.0,s24_confirm01,scan24,656,6799,0.13132780963331803,0.19351390555777348,0.33685481541442636,1.0,1.0,1.0,
budget0.05__local_plane64__uniform,budget,local_plane64,uniform,,0.05,0.05,False,True,0.16721645608859284,0.29901363280602916,OK,0.05000000000000006,0.03665333514151183,1.474957882937724,1.0,s24_confirm01,scan24,656,6799,0.1318012037145094,0.19433793332030397,0.33556983414073266,1.0,1.0,1.0,
budget0.05__multiscale_full__alpha,budget,multiscale_full,alpha,,0.05,0.05,False,True,0.057629000484566664,0.8676187263284265,OK,0.0500000000000001,0.07329721728410209,0.9995462980851118,1.0,s24_confirm01,scan24,656,6799,0.13244367796422685,0.19674467599169343,0.33448847718791463,1.0,1.0,1.0,
budget0.05__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.05,0.05,False,True,0.13927069017931928,0.35901308405682514,OK,0.049999999999999725,0.031846880424403055,1.509456144760828,1.0,s24_confirm01,scan24,656,6799,0.13156512396648676,0.19332959542425754,0.336083403390628,1.0,1.0,1.0,
budget0.05__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.05,0.05,False,True,0.149111515228374,0.33531950851295256,OK,0.05000000000000033,0.02924720608723016,1.5217535264632038,1.0,s24_confirm01,scan24,656,6799,0.13150199819718092,0.1932143534258378,0.3361728949035872,1.0,1.0,1.0,
budget0.05__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.05,0.05,False,True,0.14361897016393058,0.34814342383132707,OK,0.050000000000000364,0.03153132316408384,1.5138002988801023,1.0,s24_confirm01,scan24,656,6799,0.13158086439337696,0.19293165219501285,0.33609102898881277,1.0,1.0,1.0,
budget0.05__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.05,0.05,False,True,0.1517497556323305,0.32948982218556816,OK,0.050000000000000294,0.029313313885329668,1.524112282557145,1.0,s24_confirm01,scan24,656,6799,0.13150909077806514,0.19318022335223708,0.33616994125589045,1.0,1.0,1.0,
budget0.05__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.05,0.05,False,True,0.15185502892255048,0.329261403818909,OK,0.04999999999999986,0.02902401459882126,1.5242709371051282,1.0,s24_confirm01,scan24,656,6799,0.13149835753462524,0.19286387300212604,0.33620580174203935,1.0,1.0,1.0,
budget0.05__multiscale_full__uniform,budget,multiscale_full,uniform,,0.05,0.05,False,True,0.1624224402096147,0.30783923659484724,OK,0.04999999999999998,0.030344809785077604,1.513703128809373,1.0,s24_confirm01,scan24,656,6799,0.13157253205318267,0.193159692398572,0.33611630356896954,1.0,1.0,1.0,
budget0.05__quadratic64__uniform,budget,quadratic64,uniform,,0.05,0.05,False,True,0.1637761207154302,0.3052948120982648,OK,0.04999999999999943,0.032772327291203995,1.500427964505782,1.0,s24_confirm01,scan24,656,6799,0.13165439023408698,0.1944669919764202,0.336110124836463,1.0,1.0,1.0,
budget0.1__local_plane64__uniform,budget,local_plane64,uniform,,0.1,0.1,False,True,0.16721645608859284,0.5980272656120583,OK,0.10000000000000052,0.0733066702829849,2.9499157658754562,1.0,s24_confirm01,scan24,656,6799,0.13295269547835822,0.19725678256882684,0.3340264955741947,1.0,1.0,1.0,
budget0.1__multiscale_full__alpha,budget,multiscale_full,alpha,,0.1,0.1,False,True,0.057629000484566664,1.735237452656853,OK,0.09999999999999966,0.1465944345681776,1.9990925961701755,1.0,s24_confirm01,scan24,656,6799,0.13358976810045348,0.19538233894119916,0.3332832477603811,1.0,1.0,1.0,
budget0.1__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.1,0.1,False,True,0.13927069017931928,0.7180261681136503,OK,0.10000000000000014,0.06369376084880281,3.0189122895216802,1.0,s24_confirm01,scan24,656,6799,0.13234777688831054,0.19419003572272256,0.33482564778916585,1.0,1.0,1.0,
budget0.1__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.1,0.1,False,True,0.149111515228374,0.6706390170259051,OK,0.09999999999999992,0.058494412174490626,3.0435070529263837,1.0,s24_confirm01,scan24,656,6799,0.1321769628132269,0.19445222875108448,0.334963914359185,1.0,1.0,1.0,
budget0.1__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.1,0.1,False,True,0.14361897016393058,0.6962868476626541,OK,0.09999999999999983,0.06306264632814607,3.027600597760183,1.0,s24_confirm01,scan24,656,6799,0.13235224186875247,0.19411169849118198,0.3348356871635012,1.0,1.0,1.0,
budget0.1__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.1,0.1,False,True,0.1517497556323305,0.6589796443711363,OK,0.09999999999999955,0.05862662777065762,3.048224565114242,1.0,s24_confirm01,scan24,656,6799,0.13217212931361838,0.1942770367269776,0.3349468375513484,1.0,1.0,1.0,
budget0.1__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.1,0.1,False,True,0.15185502892255048,0.658522807637818,OK,0.10000000000000007,0.05804802919764593,3.0485418742102808,1.0,s24_confirm01,scan24,656,6799,0.13211290115966412,0.19408922665457204,0.3350213620058465,1.0,1.0,1.0,
budget0.1__multiscale_full__uniform,budget,multiscale_full,uniform,,0.1,0.1,False,True,0.1624224402096147,0.6156784731896945,OK,0.09999999999999974,0.06068961957019804,3.027406257618743,1.0,s24_confirm01,scan24,656,6799,0.13228275106105813,0.1946003127581971,0.33488911270285215,1.0,1.0,1.0,
budget0.1__quadratic64__uniform,budget,quadratic64,uniform,,0.1,0.1,False,True,0.1637761207154302,0.6105896241965296,OK,0.1000000000000001,0.06554465458238215,3.000855929011612,1.0,s24_confirm01,scan24,656,6799,0.13237394065389382,0.19427189160840966,0.33490171474683705,1.0,1.0,1.0,
native__apss2,native,apss2,cached,,,,,,,,OK,0.019644218927527542,0.038322176299389395,0.07800673941464854,0.9990234375,s24_confirm01,scan24,656,6799,0.1312699460436638,0.1933759391823725,0.3353754405941428,1.0,1.0,1.0,
native__identity,native,identity,cached,,,,,,,,OK,0.0,0.0,0.0,0.0,s24_confirm01,scan24,656,6799,0.13113334654106404,0.1940114474280863,0.3376967690209778,1.0,1.0,1.0,
native__local_plane64,native,local_plane64,cached,,,,,,,,OK,0.16721645608859287,0.12258081612377733,4.932744601295585,1.0,s24_confirm01,scan24,656,6799,0.13339458403984372,0.19656091519130942,0.332915463840426,1.0,1.0,1.0,
native__multiscale_consensus,native,multiscale_consensus,cached,,,,,,,,OK,0.05762900048456687,0.0844809074076717,1.152057081933844,1.0,s24_confirm01,scan24,656,6799,0.13268138541496866,0.19619291013296983,0.33417926664568187,1.0,1.0,1.0,
native__multiscale_full,native,multiscale_full,cached,,,,,,,,OK,0.1624224402096147,0.09857356105982606,4.917187118682949,1.0,s24_confirm01,scan24,656,6799,0.13300746278770137,0.1956587800425612,0.3338578834417493,1.0,1.0,1.0,
native__multiscale_matched,native,multiscale_matched,cached,,,,,,,,OK,0.05762900048456662,0.034974821156195476,1.7446639668729134,1.0,s24_confirm01,scan24,656,6799,0.1316856151347695,0.19375863025085252,0.33590681814833573,1.0,1.0,1.0,
native__quadratic64,native,quadratic64,cached,,,,,,,,OK,0.1637761207154302,0.10734649261135314,4.914685428794193,1.0,s24_confirm01,scan24,656,6799,0.13318168491649887,0.19528079841199866,0.3338977849846015,1.0,1.0,1.0,
native__rimls2,native,rimls2,cached,,,,,,,,OK,0.018997255923378583,0.037273241741643634,0.08640546260380222,0.9990234375,s24_confirm01,scan24,656,6799,0.13116899774171353,0.19400148604507478,0.3356558865899057,1.0,1.0,1.0,
native__v18,native,v18,cached,,,,,,,,OK,0.07693532035262489,0.14495775929236307,0.21465187606768382,0.9990234375,s24_confirm01,scan24,656,6799,0.13472646578544495,0.20384345735882398,0.33293280644437423,1.0,1.0,1.0,
probe_t0.5,probe,multiscale_full,fixed_step,,,,,,,,OK,0.08121122010480736,0.04928678052991411,2.4585935593414745,1.0,s24_confirm01,scan24,656,6799,0.13200781309755125,0.194096761624105,0.33531200336624567,1.0,1.0,1.0,0.5
probe_t1,probe,multiscale_full,fixed_step,,,,,,,,OK,0.1624224402096147,0.09857356105982606,4.917187118682949,1.0,s24_confirm01,scan24,656,6799,0.13300746278770137,0.1956587800425612,0.3338578834417493,1.0,1.0,1.0,1.0
budget0.025__local_plane64__uniform,budget,local_plane64,uniform,,0.025,0.025,False,True,0.14715330596493797,0.16989084843229224,OK,0.02499999999999916,0.05643628762335564,0.17387135573348467,1.0,s24_confirm03,scan24,673,2055,0.2560963615253319,0.5109065685724175,0.36548723194020544,0.9970282317979198,0.9854014598540146,0.9911807508397983,
budget0.025__multiscale_full__alpha,budget,multiscale_full,alpha,,0.025,0.025,False,True,0.05979114520283856,0.4181221134866829,OK,0.025000000000000463,0.050399523114701895,0.16291819949681105,1.0,s24_confirm03,scan24,673,2055,0.2563976462526175,0.49960911406194514,0.3657638093811903,0.9970282317979198,0.9858880778588808,0.9914268617704983,
budget0.025__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.025,0.025,False,True,0.07068093517651547,0.3537021678839718,OK,0.024999999999999363,0.04785921838838279,0.25212767161391597,1.0,s24_confirm03,scan24,673,2055,0.2565394186567636,0.48742779186353435,0.36582290372222137,0.9970282317979198,0.9863746958637469,0.9916728519370226,
budget0.025__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.025,0.025,False,True,0.07126011760884592,0.3508273749592663,OK,0.02499999999999974,0.051846780694705726,0.24355169770246604,1.0,s24_confirm03,scan24,673,2055,0.25662445061185507,0.49233383017871996,0.3658481253352161,0.9970282317979198,0.9858880778588808,0.9914268617704983,
budget0.025__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.025,0.025,False,True,0.07137323073671795,0.3502713796468058,OK,0.025000000000000615,0.04990764211841677,0.24185399047948036,1.0,s24_confirm03,scan24,673,2055,0.2566044986638246,0.4934615918264527,0.3658023014651546,0.9970282317979198,0.9858880778588808,0.9914268617704983,
budget0.025__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.025,0.025,False,True,0.07162302621693954,0.3490497584432876,OK,0.024999999999999706,0.050444024358156696,0.24002338800315318,1.0,s24_confirm03,scan24,673,2055,0.25654648732171087,0.49152430415159054,0.3658298594268101,0.9970282317979198,0.9858880778588808,0.9914268617704983,
budget0.025__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.025,0.025,False,True,0.07148090328885107,0.34974376161666765,OK,0.025000000000001604,0.05130065788992289,0.24411809879194651,1.0,s24_confirm03,scan24,673,2055,0.25656331878186206,0.4919422456394727,0.36577739311225793,0.9970282317979198,0.9863746958637469,0.9916728519370226,
budget0.025__multiscale_full__uniform,budget,multiscale_full,uniform,,0.025,0.025,False,True,0.08191161058187967,0.30520703746887934,OK,0.02500000000000066,0.05054204593874583,0.23794427050076067,1.0,s24_confirm03,scan24,673,2055,0.2565872513004793,0.49284806328908887,0.3658538900374519,0.9970282317979198,0.9858880778588808,0.9914268617704983,
budget0.025__quadratic64__uniform,budget,quadratic64,uniform,,0.025,0.025,False,True,0.0845744411840949,0.2955975782988857,OK,0.02500000000000013,0.054128710515364574,0.20963848498462379,1.0,s24_confirm03,scan24,673,2055,0.25687829285353975,0.49219119289782354,0.3660424810023275,0.9970282317979198,0.9863746958637469,0.9916728519370226,
budget0.05__local_plane64__uniform,budget,local_plane64,uniform,,0.05,0.05,False,True,0.14715330596493797,0.3397816968645845,OK,0.049999999999999684,0.11287257524669743,0.34774271146704916,1.0,s24_confirm03,scan24,673,2055,0.25424261706237666,0.5070624054004508,0.3652604786530829,0.9970282317979198,0.9854014598540146,0.9911807508397983,
budget0.05__multiscale_full__alpha,budget,multiscale_full,alpha,,0.05,0.05,False,True,0.05979114520283856,0.8362442269733658,OK,0.050000000000000384,0.10079904622944402,0.32583639899356015,1.0,s24_confirm03,scan24,673,2055,0.25509675693822337,0.5014293382350115,0.36543019227796464,0.9970282317979198,0.9873479318734794,0.9921644703329153,
budget0.05__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.05,0.05,False,True,0.07068093517651547,0.7074043357679436,OK,0.049999999999999795,0.09571843677676882,0.5042553432278287,1.0,s24_confirm03,scan24,673,2055,0.25526913048805583,0.49668405573697905,0.3655115054644865,0.9970282317979198,0.9873479318734794,0.9921644703329153,
budget0.05__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.05,0.05,False,True,0.07126011760884592,0.7016547499185326,OK,0.05000000000000035,0.10369356138940546,0.4871033954049288,1.0,s24_confirm03,scan24,673,2055,0.25541565150173445,0.4977455588829138,0.3655661842570043,0.9970282317979198,0.9873479318734794,0.9921644703329153,
budget0.05__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.05,0.05,False,True,0.07137323073671795,0.7005427592936116,OK,0.04999999999999994,0.09981528423683171,0.4837079809589837,1.0,s24_confirm03,scan24,673,2055,0.2553433206825282,0.5043488341681609,0.3654912191168119,0.9970282317979198,0.9873479318734794,0.9921644703329153,
