key,fbig,calibration,arm,subset,n,weighted_delta
confirmation_seed701_fbig0.10_exch,0.1,exch,test_projection,big,2009,-0.27427660769002143
confirmation_seed701_fbig0.10_exch,0.1,exch,test_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_exch,0.1,exch,test_projection,twosheet_back,1000,0.17136970187883482
confirmation_seed701_fbig0.10_exch,0.1,exch,test_projection,twosheet_front,1000,-6.749880289393513e-05
confirmation_seed701_fbig0.10_exch,0.1,exch,test_veto_projection,base,15451,-0.004169401567372564
confirmation_seed701_fbig0.10_exch,0.1,exch,test_veto_projection,big,2009,-0.13367627711075467
confirmation_seed701_fbig0.10_exch,0.1,exch,test_veto_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_exch,0.1,exch,test_veto_projection,twosheet_back,1000,0.02403452760888725
confirmation_seed701_fbig0.10_exch,0.1,exch,test_veto_projection,twosheet_front,1000,-0.0003477112626296896
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_projection,base,15451,0.002465842605814757
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_projection,big,2009,-0.24183763270714945
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_projection,twosheet_back,1000,0.04786345351444815
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_projection,twosheet_front,1000,-0.00041998378346863683
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_argmin,base,15451,0.009235561889244171
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_argmin,big,2009,-0.25387865044759267
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_argmin,misfit,540,0.0
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_argmin,twosheet_back,1000,0.05165175969127154
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor1_argmin,twosheet_front,1000,-8.632818154969539e-05
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor2_projection,base,15451,-0.0014816244314656978
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor2_projection,big,2009,-0.20899229989084953
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor2_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor2_projection,twosheet_back,1000,0.03491230870381797
