key,phase,seed,fbig,calibration,arm,group,n,moved,harm_count,benefit_count,move_rate,harm_rate,harm_among_moved,harm_sum,gain_sum,harm_p95_moved,mae,rmse,identity_mae,delta_mae,weighted_delta,half_error_rate
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,ALL,20000,0,0,0,0.0,0.0,,0.0,0.0,,0.20484051126801642,0.5431980601729477,0.20484051126801642,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,base,17270,0,0,0,0.0,0.0,,0.0,0.0,,0.15991600295170863,0.20008070010310489,0.15991600295170863,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,base:mm,2538,0,0,0,0.0,0.0,,0.0,0.0,,0.16088528667992952,0.2008710031709418,0.16088528667992952,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,base:single,14732,0,0,0,0.0,0.0,,0.0,0.0,,0.15974901665641777,0.1999442328100399,0.15974901665641777,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,big,190,0,0,0,0.0,0.0,,0.0,0.0,,4.897638271001144,5.185929345487895,4.897638271001144,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,big:mm,24,0,0,0,0.0,0.0,,0.0,0.0,,4.615871192770618,4.97729022076748,4.615871192770618,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,big:single,166,0,0,0,0.0,0.0,,0.0,0.0,,4.938375679901943,5.215403490791758,4.938375679901943,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,misfit,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1633295264038677,0.20450697983783359,0.1633295264038677,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,misfit:single,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1633295264038677,0.20450697983783359,0.1633295264038677,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,twosheet_back,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.16092870138098506,0.1990959968393023,0.16092870138098506,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,twosheet_back:single,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.16092870138098506,0.1990959968393023,0.16092870138098506,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,twosheet_front,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.15538293725503008,0.194595392197561,0.15538293725503008,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,twosheet_front:single,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.15538293725503008,0.194595392197561,0.15538293725503008,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,mm,2562,0,0,0,0.0,0.0,,0.0,0.0,,0.20261817572995935,0.521575182262098,0.20261817572995935,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,identity,single,17438,0,0,0,0.0,0.0,,0.0,0.0,,0.20516701795734443,0.5463028020451395,0.20516701795734443,0.0,0.0,0.0
development_seed101_fbig0.01_exch,development,101,0.01,exch,test_projection,ALL,20000,2064,966,1098,0.1032,0.0483,0.4680232558139535,4329.090922928807,732.0689428967898,5.946868484363114,0.38469161026961723,1.1779114531958432,0.20484051126801642,0.17985109900160082,0.17985109900160082,0.04085
development_seed101_fbig0.01_exch,development,101,0.01,exch,test_projection,base,17270,1238,314,924,0.07168500289519397,0.01818181818181818,0.25363489499192243,874.5514864467391,179.0395251135359,5.914986062943023,0.20018884379323745,0.5878815539297068,0.15991600295170863,0.04027284084152885,0.03477559806666016,0.038332368268674
development_seed101_fbig0.01_exch,development,101,0.01,exch,test_projection,base:mm,2538,257,157,100,0.10126083530338849,0.06185973207249803,0.6108949416342413,770.5955374804811,19.535470219720423,7.085538587968957,0.4568112391073373,1.3654527145038522,0.16088528667992952,0.29592595242740766,0.03755300336303803,0.027580772261623327
development_seed101_fbig0.01_exch,development,101,0.01,exch,test_projection,base:single,14732,981,157,824,0.06658973662774911,0.010657073038284007,0.1600407747196738,103.95594896625795,159.5040548938155,0.18394014542686848,0.15597844199394445,0.28972250107115216,0.15974901665641777,-0.0037705746624733592,-0.0027774052963778764,0.04018463209340212
development_seed101_fbig0.01_exch,development,101,0.01,exch,test_projection,big,190,121,2,119,0.6368421052631579,0.010526315789473684,0.01652892561983471,9.026996710197867,542.4193428411937,0.0,2.0903101334695875,3.13326652107506,4.897638271001144,-2.8073281375315573,-0.026669617306549792,0.6157894736842106
development_seed101_fbig0.01_exch,development,101,0.01,exch,test_projection,big:mm,24,12,2,10,0.5,0.08333333333333333,0.16666666666666666,9.026996710197867,44.787079776038176,4.461810651902082,3.125867731693939,4.154978171795036,4.615871192770618,-1.4900034610766797,-0.0017880041532920155,0.4166666666666667
development_seed101_fbig0.01_exch,development,101,0.01,exch,test_projection,big:single,166,109,0,109,0.6566265060240963,0.0,0.0,0.0,497.63226306515537,0.0,1.9405909626419702,2.9564774514785945,4.938375679901943,-2.997784717259972,-0.024881613153257768,0.6445783132530121
