case,seed,f_big,n_calibration,selector,subset,n,n_rejected,rejection_rate,max_bh_margin,bh_rejections,p_floor_min,p_floor_max,observation_sha256,selector_input_sha256,calibration_prefix_sha256,p_sha256
seed101_fbig0.10,101,0.1,32000,bh,all,20000,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,big,2007,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,within_tolerance,17774,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,outside_tolerance,2226,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,misfit,540,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,twosheet_back,1000,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,twosheet_front,1000,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,base,15453,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,wrong_association,2676,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
seed101_fbig0.10,101,0.1,32000,bh,misfit_within_tolerance,530,0,0.0,-3.518370454978107e-05,0,9.237021984112322e-05,9.518370454978108e-05,24a4f1b40fd33eb61c2ce14d5ffb5ff4ff971784a1d60c3c7bdee6b3406f0c1a,48149eb4dce84200b5ad78d73a2e8d9d6025e14b317e694c5d86655bc864f849,0653332a1768096f2ece35781ca2c3c10adbd8d216dacbecd200f7433342e8eb,ef62165128d747127562df0efcb607b76ab8255c4887f0d00abbd5fe06f071cf
