case,method,ok,seconds,sigma_mm,n_points,n_stations,error,independent_real_quality,output_finite,output_n,identifiable,k_method,note,false_split,false_merge,gap_err_mm,surface_err_mm,coverage,layer_match_failed,k_info,split,family,seed,gap_mm,bias_rms_mm,noise_protocol,k_hat,n_true_layers,patch_id,scene,perturbation,perturb_seed,actual_point_delta_rms_mm,recovery_vs_unperturbed_input_rms_mm,stability_vs_own_unperturbed_output_rms_mm,recovery_note,stability_note
dual_g2_s912101_b4,xyz_mixture,True,0.0033776469936128706,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,5.545972996748968,2.772986498374484,1.0,False,2,synthetic_exact,true_bilayer,912101,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912101_b4,fast,True,0.004749993997393176,1.0,768,8,,本轮尚未测得,True,768,True,1,,0,1,,,1.0,True,1,synthetic_exact,true_bilayer,912101,2.0,4.0,supplied-noise sigma=1 mm,1,2,,,,,,,,,
dual_g2_s912101_b4,open3d_icp_then_xyz,True,0.021481287993083242,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.640653991621285,0.9107846309043093,1.0,False,2,synthetic_exact,true_bilayer,912101,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912113_b0,identity,True,0.00026959800015902147,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,0.1702134274515834,0.9880873270016381,1.0,False,,synthetic_exact,true_bilayer,912113,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912113_b0,xyz_mixture,True,0.01986864799982868,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.9070062467599418,0.9845993094751462,1.0,False,2,synthetic_exact,true_bilayer,912113,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912113_b0,fast,True,0.004553120001219213,1.0,768,8,,本轮尚未测得,True,768,True,1,,0,1,,,1.0,True,1,synthetic_exact,true_bilayer,912113,2.0,0.0,supplied-noise sigma=1 mm,1,2,,,,,,,,,
dual_g2_s912113_b0,open3d_icp_then_xyz,True,0.021315735997632146,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.8934371937204646,0.9455406809140774,1.0,False,2,synthetic_exact,true_bilayer,912113,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912113_b4,identity,True,0.0002907519956352189,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,4.763909946423437,2.3819549732117187,1.0,False,,synthetic_exact,true_bilayer,912113,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912113_b4,xyz_mixture,True,0.019208778998290654,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,5.168036037406089,2.5840180187030444,1.0,False,2,synthetic_exact,true_bilayer,912113,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912113_b4,fast,True,0.004679152996686753,1.0,768,8,,本轮尚未测得,True,768,True,1,,0,1,,,1.0,True,1,synthetic_exact,true_bilayer,912113,2.0,4.0,supplied-noise sigma=1 mm,1,2,,,,,,,,,
dual_g2_s912113_b4,open3d_icp_then_xyz,True,0.0211051430014777,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.797152989007011,0.9424895368347572,1.0,False,2,synthetic_exact,true_bilayer,912113,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
