case,goal_id,family,goal_mask,method,budget,allowed_bits,costs,removed_bit,error,error_count,mean_query_cost,max_query_cost,mean_query_count,runtime_seconds,counts
nonunit_costs,mux_00,multiplexer,58596,fixed_prefix,2,0|1|2|3,1|2|3|4,,0.5,8,1.0,1,1.0,5.902000339119695e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
nonunit_costs,mux_00,multiplexer,58596,adaptive,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,3,1.5,2.0475999917834997e-05,"{""cache_hits"": 4, ""query_candidates"": 7, ""states"": 11, ""terminal_evaluations"": 11}"
nonunit_costs,mux_00,multiplexer,58596,open_loop,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.5016999896033667e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 11, ""tree_nodes"": 17}"
nonunit_costs,mux_00,multiplexer,58596,fixed_prefix,3,0|1|2|3,1|2|3|4,,0.25,4,3.0,3,2.0,7.220000043162145e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
nonunit_costs,mux_00,multiplexer,58596,adaptive,4,0|1|2|3,1|2|3|4,,0.0,0,3.5,4,2.0,2.6663999960874207e-05,"{""cache_hits"": 8, ""query_candidates"": 12, ""states"": 17, ""terminal_evaluations"": 17}"
nonunit_costs,mux_00,multiplexer,58596,open_loop,4,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.8773000192595646e-05,"{""subsets_evaluated"": 7, ""terminal_evaluations"": 17, ""tree_nodes"": 27}"
nonunit_costs,mux_00,multiplexer,58596,fixed_prefix,4,0|1|2|3,1|2|3|4,,0.25,4,3.0,3,2.0,7.23100129107479e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
missing_sensor,mux_00,multiplexer,58596,adaptive,4,1|2|3,1|1|1|1,0,0.25,4,1.0,1,1.0,4.0830000216374174e-05,"{""cache_hits"": 28, ""query_candidates"": 27, ""states"": 27, ""terminal_evaluations"": 27}"
missing_sensor,mux_00,multiplexer,58596,open_loop,4,1|2|3,1|1|1|1,0,0.25,4,1.0,1,1.0,2.2154999896883965e-05,"{""subsets_evaluated"": 8, ""terminal_evaluations"": 27, ""tree_nodes"": 46}"
missing_sensor,mux_00,multiplexer,58596,fixed_prefix,4,1|2|3,1|1|1|1,0,0.25,4,3.0,3,3.0,9.190000128000975e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 8, ""tree_nodes"": 15}"
primary,mux_01,multiplexer,6939,adaptive,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,8.828999852994457e-06,"{""cache_hits"": 0, ""query_candidates"": 0, ""states"": 1, ""terminal_evaluations"": 1}"
primary,mux_01,multiplexer,6939,open_loop,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,9.749999662744813e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_01,multiplexer,6939,fixed_prefix,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,4.8080000851769e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_01,multiplexer,6939,adaptive,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,1.6033000065363012e-05,"{""cache_hits"": 0, ""query_candidates"": 4, ""states"": 9, ""terminal_evaluations"": 9}"
primary,mux_01,multiplexer,6939,open_loop,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,1.4248000297811814e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 9, ""tree_nodes"": 13}"
