family,target_id,target_mask,regime,m,rep,method,pred_mask,budget,canonical_adaptive_error,canonical_batch_error,model_error,model_objective_tied,min_true_error,max_true_error,better_or_equal_batch_optimum_exists
nonlinear_in_grammar,nonlinear_in_grammar_42,12563,uniform,8,4,exact,42390,3,0.625,0.5,0.25,1,0.125,0.625,1
out_of_grammar,out_of_grammar_00,19389,uniform,8,2,exact,2805,2,0.5,0.375,0.25,1,0.25,0.5,1
out_of_grammar,out_of_grammar_04,50899,uniform,8,0,exact,52377,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,0,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,1,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,2,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,3,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,4,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,6,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,7,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_05,21355,uniform,8,6,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_05,21355,uniform,32,6,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_05,21355,shift_x3,32,3,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_05,21355,shift_x3,32,4,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_06,44822,uniform,8,2,exact,7710,2,0.4375,0.3125,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_06,44822,uniform,32,7,exact,43350,3,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_06,44822,shift_x3,32,6,exact,7710,2,0.4375,0.3125,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,1,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,2,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,3,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,4,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,5,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,6,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_08,45979,uniform,8,2,exact,37779,2,0.375,0.25,0.25,1,0.125,0.375,1
out_of_grammar,out_of_grammar_08,45979,uniform,8,4,exact,13209,2,0.375,0.25,0.25,1,0.125,0.375,1
out_of_grammar,out_of_grammar_08,45979,shift_x3,8,5,exact,37779,2,0.375,0.25,0.25,1,0.125,0.375,1
out_of_grammar,out_of_grammar_08,45979,shift_x3,8,7,exact,4883,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_09,27351,uniform,32,6,exact,27285,3,0.375,0.25,0.25,1,0.25,0.375,1
out_of_grammar,out_of_grammar_10,33167,uniform,32,7,exact,270,3,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_13,32182,uniform,32,0,exact,22950,3,0.4375,0.3125,0.25,1,0.3125,0.4375,1
out_of_grammar,out_of_grammar_13,32182,shift_x3,32,1,exact,46260,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_13,32182,shift_x3,32,2,exact,46260,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_13,32182,shift_x3,32,3,exact,46260,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_13,32182,shift_x3,8,6,exact,46260,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_13,32182,shift_x3,8,7,exact,46260,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_13,32182,shift_x3,32,7,exact,46260,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_17,48854,shift_x3,8,4,exact,50886,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_18,33150,uniform,8,2,exact,34935,2,0.375,0.25,0.25,1,0.25,0.5,1
out_of_grammar,out_of_grammar_18,33150,uniform,8,6,exact,1530,2,0.375,0.25,0.25,1,0.25,0.5,1
out_of_grammar,out_of_grammar_19,50683,uniform,32,7,exact,17595,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_21,59659,uniform,8,4,exact,26316,2,0.625,0.5,0.25,1,0.5,0.625,1
out_of_grammar,out_of_grammar_24,6268,uniform,32,3,exact,5180,3,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_24,6268,shift_x3,32,0,exact,31868,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_24,6268,shift_x3,32,1,exact,31868,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_24,6268,shift_x3,32,2,exact,31868,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_24,6268,shift_x3,32,3,exact,31868,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_24,6268,shift_x3,32,4,exact,31868,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_24,6268,shift_x3,32,5,exact,31868,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_24,6268,shift_x3,32,6,exact,31868,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_28,61566,uniform,8,2,exact,30840,2,0.375,0.25,0.25,1,0.25,0.375,1
out_of_grammar,out_of_grammar_28,61566,uniform,32,4,exact,61530,2,0.375,0.25,0.25,1,0.125,0.375,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,0,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,1,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,2,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,3,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,4,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,5,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,6,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_31,24333,shift_x3,32,7,exact,3341,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_32,36951,uniform,32,5,exact,86,3,0.3125,0.1875,0.125,1,0.0625,0.3125,1
out_of_grammar,out_of_grammar_36,16510,shift_x3,32,6,exact,30326,2,0.4375,0.3125,0.125,1,0.3125,0.4375,1
out_of_grammar,out_of_grammar_38,53294,uniform,32,2,exact,61470,3,0.3125,0.1875,0.125,1,0.0625,0.3125,1
out_of_grammar,out_of_grammar_39,50113,uniform,8,1,exact,50025,3,0.1875,0.0625,0.25,1,0.0625,0.4375,1
out_of_grammar,out_of_grammar_39,50113,uniform,32,2,exact,50121,3,0.1875,0.0625,0.125,1,0.0625,0.1875,1
out_of_grammar,out_of_grammar_39,50113,uniform,32,3,exact,50121,3,0.1875,0.0625,0.125,1,0.0625,0.1875,1
out_of_grammar,out_of_grammar_39,50113,uniform,32,4,exact,49985,3,0.1875,0.0625,0.125,1,0.0625,0.1875,1
out_of_grammar,out_of_grammar_39,50113,uniform,32,7,exact,50121,3,0.1875,0.0625,0.125,1,0.0625,0.1875,1
out_of_grammar,out_of_grammar_41,9145,uniform,32,0,exact,13209,2,0.375,0.25,0.25,1,0.25,0.375,1
out_of_grammar,out_of_grammar_41,9145,uniform,32,1,exact,13209,2,0.375,0.25,0.25,1,0.25,0.375,1
out_of_grammar,out_of_grammar_41,9145,uniform,32,2,exact,13073,2,0.375,0.25,0.125,1,0.25,0.375,1
