family,regime,method,m,error,full_error,unseen_error,unseen_defined_rows,train_error,consistent_rate,mean_unique_seen,rows,target_draws,unique_targets,sample_replicates_per_draw
affine,uniform,affine,32,0.0,0.0,0.0,354,0.0,1.0,13.932291666666666,384,48,27,8
affine,uniform,exact,32,0.0,0.0,0.0,354,0.0,1.0,13.932291666666666,384,48,27,8
affine,uniform,prefix32,32,0.23893229166666666,0.23893229166666666,0.416195856873823,354,0.15966796875,0.4791666666666667,13.932291666666666,384,48,27,8
nonlinear_in_grammar,uniform,affine,32,0.2060546875,0.2060546875,0.3315891472868217,344,0.15055338541666666,0.0026041666666666665,13.986979166666666,384,48,47,8
nonlinear_in_grammar,uniform,exact,32,0.019205729166666668,0.019205729166666668,0.12601744186046512,344,0.0,1.0,13.986979166666666,384,48,47,8
nonlinear_in_grammar,uniform,prefix32,32,0.20084635416666666,0.20084635416666666,0.32262596899224805,344,0.14925130208333334,0.005208333333333333,13.986979166666666,384,48,47,8
out_of_grammar,uniform,affine,32,0.2701822916666667,0.2701822916666667,0.48437204910292725,353,0.18180338541666666,0.0,14.026041666666666,384,48,48,8
out_of_grammar,uniform,exact,32,0.14322916666666666,0.14322916666666666,0.4915486307837582,353,0.054768880208333336,0.11979166666666667,14.026041666666666,384,48,48,8
out_of_grammar,uniform,prefix32,32,0.3089192708333333,0.3089192708333333,0.5191690273843248,353,0.216552734375,0.005208333333333333,14.026041666666666,384,48,48,8
