case,goal_id,method,budget,world,truth,guess,error,queried_bits,observations,total_cost
primary,mux_00,fixed_prefix,1,15,1,0,1,0,1,1
primary,mux_00,adaptive,2,0,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,2,1,0,0,0,0|2,1|0,2
primary,mux_00,adaptive,2,2,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,2,3,0,0,0,0|2,1|0,2
primary,mux_00,adaptive,2,4,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,2,5,1,1,0,0|2,1|1,2
primary,mux_00,adaptive,2,6,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,2,7,1,1,0,0|2,1|1,2
primary,mux_00,adaptive,2,8,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,2,9,0,0,0,0|2,1|0,2
primary,mux_00,adaptive,2,10,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,2,11,0,0,0,0|2,1|0,2
primary,mux_00,adaptive,2,12,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,2,13,1,1,0,0|2,1|1,2
primary,mux_00,adaptive,2,14,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,2,15,1,1,0,0|2,1|1,2
primary,mux_00,open_loop,2,0,0,0,0,1,0,1
primary,mux_00,open_loop,2,1,0,0,0,1,0,1
primary,mux_00,open_loop,2,2,1,1,0,1,1,1
primary,mux_00,open_loop,2,3,0,1,1,1,1,1
primary,mux_00,open_loop,2,4,0,0,0,1,0,1
primary,mux_00,open_loop,2,5,1,0,1,1,0,1
primary,mux_00,open_loop,2,6,1,1,0,1,1,1
primary,mux_00,open_loop,2,7,1,1,0,1,1,1
primary,mux_00,open_loop,2,8,0,0,0,1,0,1
primary,mux_00,open_loop,2,9,0,0,0,1,0,1
primary,mux_00,open_loop,2,10,1,1,0,1,1,1
primary,mux_00,open_loop,2,11,0,1,1,1,1,1
primary,mux_00,open_loop,2,12,0,0,0,1,0,1
primary,mux_00,open_loop,2,13,1,0,1,1,0,1
primary,mux_00,open_loop,2,14,1,1,0,1,1,1
primary,mux_00,open_loop,2,15,1,1,0,1,1,1
primary,mux_00,fixed_prefix,2,0,0,0,0,0|1,0|0,2
primary,mux_00,fixed_prefix,2,1,0,0,0,0|1,1|0,2
primary,mux_00,fixed_prefix,2,2,1,1,0,0|1,0|1,2
primary,mux_00,fixed_prefix,2,3,0,0,0,0|1,1|1,2
primary,mux_00,fixed_prefix,2,4,0,0,0,0|1,0|0,2
primary,mux_00,fixed_prefix,2,5,1,0,1,0|1,1|0,2
primary,mux_00,fixed_prefix,2,6,1,1,0,0|1,0|1,2
primary,mux_00,fixed_prefix,2,7,1,0,1,0|1,1|1,2
primary,mux_00,fixed_prefix,2,8,0,0,0,0|1,0|0,2
primary,mux_00,fixed_prefix,2,9,0,0,0,0|1,1|0,2
primary,mux_00,fixed_prefix,2,10,1,1,0,0|1,0|1,2
