case,goal_id,method,budget,world,truth,guess,error,queried_bits,observations,total_cost
missing_sensor,mux_01,open_loop,4,14,0,0,0,1,1,1
missing_sensor,mux_01,open_loop,4,15,0,0,0,1,1,1
missing_sensor,mux_01,fixed_prefix,4,0,1,1,0,1|2|3,0|0|0,3
missing_sensor,mux_01,fixed_prefix,4,1,1,1,0,1|2|3,0|0|0,3
missing_sensor,mux_01,fixed_prefix,4,2,0,0,0,1|2|3,1|0|0,3
missing_sensor,mux_01,fixed_prefix,4,3,1,0,1,1|2|3,1|0|0,3
missing_sensor,mux_01,fixed_prefix,4,4,1,0,1,1|2|3,0|1|0,3
missing_sensor,mux_01,fixed_prefix,4,5,0,0,0,1|2|3,0|1|0,3
missing_sensor,mux_01,fixed_prefix,4,6,0,0,0,1|2|3,1|1|0,3
missing_sensor,mux_01,fixed_prefix,4,7,0,0,0,1|2|3,1|1|0,3
missing_sensor,mux_01,fixed_prefix,4,8,1,1,0,1|2|3,0|0|1,3
missing_sensor,mux_01,fixed_prefix,4,9,1,1,0,1|2|3,0|0|1,3
missing_sensor,mux_01,fixed_prefix,4,10,0,0,0,1|2|3,1|0|1,3
missing_sensor,mux_01,fixed_prefix,4,11,1,0,1,1|2|3,1|0|1,3
missing_sensor,mux_01,fixed_prefix,4,12,1,0,1,1|2|3,0|1|1,3
missing_sensor,mux_01,fixed_prefix,4,13,0,0,0,1|2|3,0|1|1,3
missing_sensor,mux_01,fixed_prefix,4,14,0,0,0,1|2|3,1|1|1,3
missing_sensor,mux_01,fixed_prefix,4,15,0,0,0,1|2|3,1|1|1,3
primary,mux_02,adaptive,0,0,0,0,0,,,0
primary,mux_02,adaptive,0,1,0,0,0,,,0
primary,mux_02,adaptive,0,2,1,0,1,,,0
primary,mux_02,adaptive,0,3,0,0,0,,,0
primary,mux_02,adaptive,0,4,0,0,0,,,0
primary,mux_02,adaptive,0,5,0,0,0,,,0
primary,mux_02,adaptive,0,6,1,0,1,,,0
primary,mux_02,adaptive,0,7,0,0,0,,,0
primary,mux_02,adaptive,0,8,0,0,0,,,0
primary,mux_02,adaptive,0,9,1,0,1,,,0
primary,mux_02,adaptive,0,10,1,0,1,,,0
primary,mux_02,adaptive,0,11,1,0,1,,,0
primary,mux_02,adaptive,0,12,0,0,0,,,0
primary,mux_02,adaptive,0,13,1,0,1,,,0
primary,mux_02,adaptive,0,14,1,0,1,,,0
primary,mux_02,adaptive,0,15,1,0,1,,,0
primary,mux_02,open_loop,0,0,0,0,0,,,0
primary,mux_02,open_loop,0,1,0,0,0,,,0
primary,mux_02,open_loop,0,2,1,0,1,,,0
primary,mux_02,open_loop,0,3,0,0,0,,,0
primary,mux_02,open_loop,0,4,0,0,0,,,0
primary,mux_02,open_loop,0,5,0,0,0,,,0
primary,mux_02,open_loop,0,6,1,0,1,,,0
primary,mux_02,open_loop,0,7,0,0,0,,,0
primary,mux_02,open_loop,0,8,0,0,0,,,0
primary,mux_02,open_loop,0,9,1,0,1,,,0
primary,mux_02,open_loop,0,10,1,0,1,,,0
primary,mux_02,open_loop,0,11,1,0,1,,,0
primary,mux_02,open_loop,0,12,0,0,0,,,0
primary,mux_02,open_loop,0,13,1,0,1,,,0
primary,mux_02,open_loop,0,14,1,0,1,,,0
primary,mux_02,open_loop,0,15,1,0,1,,,0
primary,mux_02,fixed_prefix,0,0,0,0,0,,,0
primary,mux_02,fixed_prefix,0,1,0,0,0,,,0
primary,mux_02,fixed_prefix,0,2,1,0,1,,,0
primary,mux_02,fixed_prefix,0,3,0,0,0,,,0
primary,mux_02,fixed_prefix,0,4,0,0,0,,,0
primary,mux_02,fixed_prefix,0,5,0,0,0,,,0
primary,mux_02,fixed_prefix,0,6,1,0,1,,,0
primary,mux_02,fixed_prefix,0,7,0,0,0,,,0
primary,mux_02,fixed_prefix,0,8,0,0,0,,,0
primary,mux_02,fixed_prefix,0,9,1,0,1,,,0
primary,mux_02,fixed_prefix,0,10,1,0,1,,,0
primary,mux_02,fixed_prefix,0,11,1,0,1,,,0
primary,mux_02,fixed_prefix,0,12,0,0,0,,,0
primary,mux_02,fixed_prefix,0,13,1,0,1,,,0
primary,mux_02,fixed_prefix,0,14,1,0,1,,,0
primary,mux_02,fixed_prefix,0,15,1,0,1,,,0
primary,mux_02,adaptive,1,0,0,0,0,1,0,1
primary,mux_02,adaptive,1,1,0,0,0,1,0,1
primary,mux_02,adaptive,1,2,1,1,0,1,1,1
primary,mux_02,adaptive,1,3,0,1,1,1,1,1
primary,mux_02,adaptive,1,4,0,0,0,1,0,1
primary,mux_02,adaptive,1,5,0,0,0,1,0,1
primary,mux_02,adaptive,1,6,1,1,0,1,1,1
primary,mux_02,adaptive,1,7,0,1,1,1,1,1
primary,mux_02,adaptive,1,8,0,0,0,1,0,1
primary,mux_02,adaptive,1,9,1,0,1,1,0,1
primary,mux_02,adaptive,1,10,1,1,0,1,1,1
primary,mux_02,adaptive,1,11,1,1,0,1,1,1
primary,mux_02,adaptive,1,12,0,0,0,1,0,1
primary,mux_02,adaptive,1,13,1,0,1,1,0,1
primary,mux_02,adaptive,1,14,1,1,0,1,1,1
primary,mux_02,adaptive,1,15,1,1,0,1,1,1
primary,mux_02,open_loop,1,0,0,0,0,1,0,1
primary,mux_02,open_loop,1,1,0,0,0,1,0,1
primary,mux_02,open_loop,1,2,1,1,0,1,1,1
primary,mux_02,open_loop,1,3,0,1,1,1,1,1
primary,mux_02,open_loop,1,4,0,0,0,1,0,1
primary,mux_02,open_loop,1,5,0,0,0,1,0,1
primary,mux_02,open_loop,1,6,1,1,0,1,1,1
primary,mux_02,open_loop,1,7,0,1,1,1,1,1
primary,mux_02,open_loop,1,8,0,0,0,1,0,1
primary,mux_02,open_loop,1,9,1,0,1,1,0,1
primary,mux_02,open_loop,1,10,1,1,0,1,1,1
primary,mux_02,open_loop,1,11,1,1,0,1,1,1
primary,mux_02,open_loop,1,12,0,0,0,1,0,1
primary,mux_02,open_loop,1,13,1,0,1,1,0,1
primary,mux_02,open_loop,1,14,1,1,0,1,1,1
primary,mux_02,open_loop,1,15,1,1,0,1,1,1
primary,mux_02,fixed_prefix,1,0,0,0,0,0,0,1
primary,mux_02,fixed_prefix,1,1,0,0,0,0,1,1
primary,mux_02,fixed_prefix,1,2,1,0,1,0,0,1
primary,mux_02,fixed_prefix,1,3,0,0,0,0,1,1
primary,mux_02,fixed_prefix,1,4,0,0,0,0,0,1
primary,mux_02,fixed_prefix,1,5,0,0,0,0,1,1
primary,mux_02,fixed_prefix,1,6,1,0,1,0,0,1
primary,mux_02,fixed_prefix,1,7,0,0,0,0,1,1
primary,mux_02,fixed_prefix,1,8,0,0,0,0,0,1
primary,mux_02,fixed_prefix,1,9,1,0,1,0,1,1
primary,mux_02,fixed_prefix,1,10,1,0,1,0,0,1
primary,mux_02,fixed_prefix,1,11,1,0,1,0,1,1
primary,mux_02,fixed_prefix,1,12,0,0,0,0,0,1
primary,mux_02,fixed_prefix,1,13,1,0,1,0,1,1
primary,mux_02,fixed_prefix,1,14,1,0,1,0,0,1
primary,mux_02,fixed_prefix,1,15,1,0,1,0,1,1
primary,mux_02,adaptive,2,0,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,2,1,0,0,0,0|3,1|0,2
primary,mux_02,adaptive,2,2,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,2,3,0,0,0,0|3,1|0,2
primary,mux_02,adaptive,2,4,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,2,5,0,0,0,0|3,1|0,2
primary,mux_02,adaptive,2,6,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,2,7,0,0,0,0|3,1|0,2
primary,mux_02,adaptive,2,8,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,2,9,1,1,0,0|3,1|1,2
primary,mux_02,adaptive,2,10,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,2,11,1,1,0,0|3,1|1,2
primary,mux_02,adaptive,2,12,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,2,13,1,1,0,0|3,1|1,2
primary,mux_02,adaptive,2,14,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,2,15,1,1,0,0|3,1|1,2
primary,mux_02,open_loop,2,0,0,0,0,1,0,1
primary,mux_02,open_loop,2,1,0,0,0,1,0,1
primary,mux_02,open_loop,2,2,1,1,0,1,1,1
primary,mux_02,open_loop,2,3,0,1,1,1,1,1
primary,mux_02,open_loop,2,4,0,0,0,1,0,1
primary,mux_02,open_loop,2,5,0,0,0,1,0,1
primary,mux_02,open_loop,2,6,1,1,0,1,1,1
primary,mux_02,open_loop,2,7,0,1,1,1,1,1
primary,mux_02,open_loop,2,8,0,0,0,1,0,1
primary,mux_02,open_loop,2,9,1,0,1,1,0,1
primary,mux_02,open_loop,2,10,1,1,0,1,1,1
primary,mux_02,open_loop,2,11,1,1,0,1,1,1
primary,mux_02,open_loop,2,12,0,0,0,1,0,1
primary,mux_02,open_loop,2,13,1,0,1,1,0,1
primary,mux_02,open_loop,2,14,1,1,0,1,1,1
primary,mux_02,open_loop,2,15,1,1,0,1,1,1
primary,mux_02,fixed_prefix,2,0,0,0,0,0|1,0|0,2
primary,mux_02,fixed_prefix,2,1,0,0,0,0|1,1|0,2
primary,mux_02,fixed_prefix,2,2,1,1,0,0|1,0|1,2
primary,mux_02,fixed_prefix,2,3,0,0,0,0|1,1|1,2
primary,mux_02,fixed_prefix,2,4,0,0,0,0|1,0|0,2
primary,mux_02,fixed_prefix,2,5,0,0,0,0|1,1|0,2
primary,mux_02,fixed_prefix,2,6,1,1,0,0|1,0|1,2
primary,mux_02,fixed_prefix,2,7,0,0,0,0|1,1|1,2
primary,mux_02,fixed_prefix,2,8,0,0,0,0|1,0|0,2
primary,mux_02,fixed_prefix,2,9,1,0,1,0|1,1|0,2
primary,mux_02,fixed_prefix,2,10,1,1,0,0|1,0|1,2
primary,mux_02,fixed_prefix,2,11,1,0,1,0|1,1|1,2
primary,mux_02,fixed_prefix,2,12,0,0,0,0|1,0|0,2
primary,mux_02,fixed_prefix,2,13,1,0,1,0|1,1|0,2
primary,mux_02,fixed_prefix,2,14,1,1,0,0|1,0|1,2
primary,mux_02,fixed_prefix,2,15,1,0,1,0|1,1|1,2
primary,mux_02,adaptive,3,0,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,3,1,0,0,0,0|1|3,1|0|0,3
primary,mux_02,adaptive,3,2,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,3,3,0,0,0,0|1|3,1|1|0,3
primary,mux_02,adaptive,3,4,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,3,5,0,0,0,0|1|3,1|0|0,3
primary,mux_02,adaptive,3,6,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,3,7,0,0,0,0|1|3,1|1|0,3
primary,mux_02,adaptive,3,8,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,3,9,1,1,0,0|1|3,1|0|1,3
primary,mux_02,adaptive,3,10,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,3,11,1,1,0,0|1|3,1|1|1,3
primary,mux_02,adaptive,3,12,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,3,13,1,1,0,0|1|3,1|0|1,3
primary,mux_02,adaptive,3,14,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,3,15,1,1,0,0|1|3,1|1|1,3
primary,mux_02,open_loop,3,0,0,0,0,0|1|3,0|0|0,3
primary,mux_02,open_loop,3,1,0,0,0,0|1|3,1|0|0,3
primary,mux_02,open_loop,3,2,1,1,0,0|1|3,0|1|0,3
primary,mux_02,open_loop,3,3,0,0,0,0|1|3,1|1|0,3
primary,mux_02,open_loop,3,4,0,0,0,0|1|3,0|0|0,3
primary,mux_02,open_loop,3,5,0,0,0,0|1|3,1|0|0,3
primary,mux_02,open_loop,3,6,1,1,0,0|1|3,0|1|0,3
primary,mux_02,open_loop,3,7,0,0,0,0|1|3,1|1|0,3
primary,mux_02,open_loop,3,8,0,0,0,0|1|3,0|0|1,3
primary,mux_02,open_loop,3,9,1,1,0,0|1|3,1|0|1,3
primary,mux_02,open_loop,3,10,1,1,0,0|1|3,0|1|1,3
primary,mux_02,open_loop,3,11,1,1,0,0|1|3,1|1|1,3
primary,mux_02,open_loop,3,12,0,0,0,0|1|3,0|0|1,3
primary,mux_02,open_loop,3,13,1,1,0,0|1|3,1|0|1,3
primary,mux_02,open_loop,3,14,1,1,0,0|1|3,0|1|1,3
primary,mux_02,open_loop,3,15,1,1,0,0|1|3,1|1|1,3
primary,mux_02,fixed_prefix,3,0,0,0,0,0|1|2,0|0|0,3
primary,mux_02,fixed_prefix,3,1,0,0,0,0|1|2,1|0|0,3
primary,mux_02,fixed_prefix,3,2,1,1,0,0|1|2,0|1|0,3
primary,mux_02,fixed_prefix,3,3,0,0,0,0|1|2,1|1|0,3
primary,mux_02,fixed_prefix,3,4,0,0,0,0|1|2,0|0|1,3
primary,mux_02,fixed_prefix,3,5,0,0,0,0|1|2,1|0|1,3
primary,mux_02,fixed_prefix,3,6,1,1,0,0|1|2,0|1|1,3
primary,mux_02,fixed_prefix,3,7,0,0,0,0|1|2,1|1|1,3
primary,mux_02,fixed_prefix,3,8,0,0,0,0|1|2,0|0|0,3
primary,mux_02,fixed_prefix,3,9,1,0,1,0|1|2,1|0|0,3
primary,mux_02,fixed_prefix,3,10,1,1,0,0|1|2,0|1|0,3
primary,mux_02,fixed_prefix,3,11,1,0,1,0|1|2,1|1|0,3
primary,mux_02,fixed_prefix,3,12,0,0,0,0|1|2,0|0|1,3
primary,mux_02,fixed_prefix,3,13,1,0,1,0|1|2,1|0|1,3
primary,mux_02,fixed_prefix,3,14,1,1,0,0|1|2,0|1|1,3
primary,mux_02,fixed_prefix,3,15,1,0,1,0|1|2,1|1|1,3
primary,mux_02,adaptive,4,0,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,4,1,0,0,0,0|1|2|3,1|0|0|0,4
primary,mux_02,adaptive,4,2,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,4,3,0,0,0,0|1|2|3,1|1|0|0,4
primary,mux_02,adaptive,4,4,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,4,5,0,0,0,0|1|2|3,1|0|1|0,4
primary,mux_02,adaptive,4,6,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,4,7,0,0,0,0|1|2|3,1|1|1|0,4
primary,mux_02,adaptive,4,8,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,4,9,1,1,0,0|1|2|3,1|0|0|1,4
primary,mux_02,adaptive,4,10,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,4,11,1,1,0,0|1|2|3,1|1|0|1,4
primary,mux_02,adaptive,4,12,0,0,0,0|1,0|0,2
primary,mux_02,adaptive,4,13,1,1,0,0|1|2|3,1|0|1|1,4
primary,mux_02,adaptive,4,14,1,1,0,0|1,0|1,2
primary,mux_02,adaptive,4,15,1,1,0,0|1|2|3,1|1|1|1,4
primary,mux_02,open_loop,4,0,0,0,0,0|1|3,0|0|0,3
primary,mux_02,open_loop,4,1,0,0,0,0|1|3,1|0|0,3
primary,mux_02,open_loop,4,2,1,1,0,0|1|3,0|1|0,3
primary,mux_02,open_loop,4,3,0,0,0,0|1|3,1|1|0,3
primary,mux_02,open_loop,4,4,0,0,0,0|1|3,0|0|0,3
primary,mux_02,open_loop,4,5,0,0,0,0|1|3,1|0|0,3
primary,mux_02,open_loop,4,6,1,1,0,0|1|3,0|1|0,3
primary,mux_02,open_loop,4,7,0,0,0,0|1|3,1|1|0,3
primary,mux_02,open_loop,4,8,0,0,0,0|1|3,0|0|1,3
primary,mux_02,open_loop,4,9,1,1,0,0|1|3,1|0|1,3
primary,mux_02,open_loop,4,10,1,1,0,0|1|3,0|1|1,3
primary,mux_02,open_loop,4,11,1,1,0,0|1|3,1|1|1,3
primary,mux_02,open_loop,4,12,0,0,0,0|1|3,0|0|1,3
primary,mux_02,open_loop,4,13,1,1,0,0|1|3,1|0|1,3
primary,mux_02,open_loop,4,14,1,1,0,0|1|3,0|1|1,3
primary,mux_02,open_loop,4,15,1,1,0,0|1|3,1|1|1,3
primary,mux_02,fixed_prefix,4,0,0,0,0,0|1|2|3,0|0|0|0,4
primary,mux_02,fixed_prefix,4,1,0,0,0,0|1|2|3,1|0|0|0,4
primary,mux_02,fixed_prefix,4,2,1,1,0,0|1|2|3,0|1|0|0,4
primary,mux_02,fixed_prefix,4,3,0,0,0,0|1|2|3,1|1|0|0,4
primary,mux_02,fixed_prefix,4,4,0,0,0,0|1|2|3,0|0|1|0,4
primary,mux_02,fixed_prefix,4,5,0,0,0,0|1|2|3,1|0|1|0,4
primary,mux_02,fixed_prefix,4,6,1,1,0,0|1|2|3,0|1|1|0,4
primary,mux_02,fixed_prefix,4,7,0,0,0,0|1|2|3,1|1|1|0,4
primary,mux_02,fixed_prefix,4,8,0,0,0,0|1|2|3,0|0|0|1,4
primary,mux_02,fixed_prefix,4,9,1,1,0,0|1|2|3,1|0|0|1,4
primary,mux_02,fixed_prefix,4,10,1,1,0,0|1|2|3,0|1|0|1,4
primary,mux_02,fixed_prefix,4,11,1,1,0,0|1|2|3,1|1|0|1,4
primary,mux_02,fixed_prefix,4,12,0,0,0,0|1|2|3,0|0|1|1,4
primary,mux_02,fixed_prefix,4,13,1,1,0,0|1|2|3,1|0|1|1,4
primary,mux_02,fixed_prefix,4,14,1,1,0,0|1|2|3,0|1|1|1,4
primary,mux_02,fixed_prefix,4,15,1,1,0,0|1|2|3,1|1|1|1,4
nonunit_costs,mux_02,adaptive,0,0,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,1,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,2,1,0,1,,,0
nonunit_costs,mux_02,adaptive,0,3,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,4,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,5,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,6,1,0,1,,,0
nonunit_costs,mux_02,adaptive,0,7,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,8,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,9,1,0,1,,,0
nonunit_costs,mux_02,adaptive,0,10,1,0,1,,,0
nonunit_costs,mux_02,adaptive,0,11,1,0,1,,,0
nonunit_costs,mux_02,adaptive,0,12,0,0,0,,,0
nonunit_costs,mux_02,adaptive,0,13,1,0,1,,,0
nonunit_costs,mux_02,adaptive,0,14,1,0,1,,,0
nonunit_costs,mux_02,adaptive,0,15,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,0,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,1,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,2,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,3,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,4,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,5,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,6,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,7,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,8,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,9,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,10,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,11,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,12,0,0,0,,,0
nonunit_costs,mux_02,open_loop,0,13,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,14,1,0,1,,,0
nonunit_costs,mux_02,open_loop,0,15,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,0,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,1,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,2,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,3,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,4,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,5,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,6,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,7,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,8,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,9,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,10,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,11,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,12,0,0,0,,,0
nonunit_costs,mux_02,fixed_prefix,0,13,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,14,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,0,15,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,0,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,1,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,2,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,3,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,4,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,5,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,6,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,7,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,8,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,9,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,10,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,11,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,12,0,0,0,,,0
nonunit_costs,mux_02,adaptive,1,13,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,14,1,0,1,,,0
nonunit_costs,mux_02,adaptive,1,15,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,0,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,1,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,2,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,3,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,4,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,5,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,6,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,7,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,8,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,9,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,10,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,11,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,12,0,0,0,,,0
nonunit_costs,mux_02,open_loop,1,13,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,14,1,0,1,,,0
nonunit_costs,mux_02,open_loop,1,15,1,0,1,,,0
nonunit_costs,mux_02,fixed_prefix,1,0,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,1,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,1,2,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,3,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,1,4,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,5,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,1,6,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,7,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,1,8,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,9,1,0,1,0,1,1
nonunit_costs,mux_02,fixed_prefix,1,10,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,11,1,0,1,0,1,1
nonunit_costs,mux_02,fixed_prefix,1,12,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,13,1,0,1,0,1,1
nonunit_costs,mux_02,fixed_prefix,1,14,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,1,15,1,0,1,0,1,1
nonunit_costs,mux_02,adaptive,2,0,0,0,0,1,0,2
nonunit_costs,mux_02,adaptive,2,1,0,0,0,1,0,2
nonunit_costs,mux_02,adaptive,2,2,1,1,0,1,1,2
nonunit_costs,mux_02,adaptive,2,3,0,1,1,1,1,2
nonunit_costs,mux_02,adaptive,2,4,0,0,0,1,0,2
nonunit_costs,mux_02,adaptive,2,5,0,0,0,1,0,2
nonunit_costs,mux_02,adaptive,2,6,1,1,0,1,1,2
nonunit_costs,mux_02,adaptive,2,7,0,1,1,1,1,2
nonunit_costs,mux_02,adaptive,2,8,0,0,0,1,0,2
nonunit_costs,mux_02,adaptive,2,9,1,0,1,1,0,2
nonunit_costs,mux_02,adaptive,2,10,1,1,0,1,1,2
nonunit_costs,mux_02,adaptive,2,11,1,1,0,1,1,2
nonunit_costs,mux_02,adaptive,2,12,0,0,0,1,0,2
nonunit_costs,mux_02,adaptive,2,13,1,0,1,1,0,2
nonunit_costs,mux_02,adaptive,2,14,1,1,0,1,1,2
nonunit_costs,mux_02,adaptive,2,15,1,1,0,1,1,2
nonunit_costs,mux_02,open_loop,2,0,0,0,0,1,0,2
nonunit_costs,mux_02,open_loop,2,1,0,0,0,1,0,2
nonunit_costs,mux_02,open_loop,2,2,1,1,0,1,1,2
nonunit_costs,mux_02,open_loop,2,3,0,1,1,1,1,2
nonunit_costs,mux_02,open_loop,2,4,0,0,0,1,0,2
nonunit_costs,mux_02,open_loop,2,5,0,0,0,1,0,2
nonunit_costs,mux_02,open_loop,2,6,1,1,0,1,1,2
nonunit_costs,mux_02,open_loop,2,7,0,1,1,1,1,2
nonunit_costs,mux_02,open_loop,2,8,0,0,0,1,0,2
nonunit_costs,mux_02,open_loop,2,9,1,0,1,1,0,2
nonunit_costs,mux_02,open_loop,2,10,1,1,0,1,1,2
nonunit_costs,mux_02,open_loop,2,11,1,1,0,1,1,2
nonunit_costs,mux_02,open_loop,2,12,0,0,0,1,0,2
nonunit_costs,mux_02,open_loop,2,13,1,0,1,1,0,2
nonunit_costs,mux_02,open_loop,2,14,1,1,0,1,1,2
nonunit_costs,mux_02,open_loop,2,15,1,1,0,1,1,2
nonunit_costs,mux_02,fixed_prefix,2,0,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,1,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,2,2,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,3,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,2,4,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,5,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,2,6,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,7,0,0,0,0,1,1
nonunit_costs,mux_02,fixed_prefix,2,8,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,9,1,0,1,0,1,1
nonunit_costs,mux_02,fixed_prefix,2,10,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,11,1,0,1,0,1,1
nonunit_costs,mux_02,fixed_prefix,2,12,0,0,0,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,13,1,0,1,0,1,1
nonunit_costs,mux_02,fixed_prefix,2,14,1,0,1,0,0,1
nonunit_costs,mux_02,fixed_prefix,2,15,1,0,1,0,1,1
nonunit_costs,mux_02,adaptive,3,0,0,0,0,0|1,0|0,3
nonunit_costs,mux_02,adaptive,3,1,0,0,0,0,1,1
nonunit_costs,mux_02,adaptive,3,2,1,1,0,0|1,0|1,3
nonunit_costs,mux_02,adaptive,3,3,0,0,0,0,1,1
nonunit_costs,mux_02,adaptive,3,4,0,0,0,0|1,0|0,3
nonunit_costs,mux_02,adaptive,3,5,0,0,0,0,1,1
nonunit_costs,mux_02,adaptive,3,6,1,1,0,0|1,0|1,3
