case,seed,f_big,n_calibration,selector,subset,n,n_rejected,rejection_rate,max_bh_margin,bh_rejections,p_floor_min,p_floor_max,observation_sha256,selector_input_sha256,calibration_prefix_sha256,p_sha256
seed103_fbig0.01,103,0.01,8000,bh,all,20000,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,big,202,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,within_tolerance,19568,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,outside_tolerance,432,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,misfit,540,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,twosheet_back,1000,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,twosheet_front,1000,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,base,17258,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,wrong_association,2564,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
seed103_fbig0.01,103,0.01,8000,bh,misfit_within_tolerance,529,0,0.0,-0.00032008361839604713,0,0.0003673769287288758,0.0003800836183960471,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,d596f415cdda806e659093175801baedc528f42b1c826ee0c241e5624aa15af6,ef7fe3859758a82e4e89170521f683ccc5b9da9f33e1f0b49afc984357c607f0
