key,seed,fbig,calibration,alpha,support,arm,subset,eligible_count,n_moved,n_dmg,dmg_rate_N,dmg_rate_moved,dmg_mag_mean_moved,dmg_mag_p95_moved,e_after_mean,e_after_rmse,big_repair_cov
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,identity,stratum_medium,3681,0,0,0.0,nan,nan,nan,0.2064962988150283,0.5598773843806678,0.0
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,identity,stratum_sharp,3681,0,0,0.0,nan,nan,nan,0.20209280818627617,0.5280569675533303,0.0
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,ALL,3681,3681,1462,0.0731,0.3971746807932627,1.4287746557653938,5.900000000000002,0.4251540765553079,1.291923594779268,0.6210526315789474
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,base,3681,2763,769,0.044528083381586564,0.2783206659428158,0.6116165425029673,5.644677400904938,0.2410308852725661,0.7937971781598493,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,big,3681,122,2,0.010526315789473684,0.01639344262295082,0.07418032786885245,0.0,2.0585270209699105,3.115664192816101,0.6210526315789474
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,twosheet_back,3681,652,652,0.652,1.0,5.433678360697374,6.0,3.703686992555673,4.52717070060443,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,twosheet_front,3681,144,39,0.039,0.2708333333333333,0.1223243733474228,0.18219451234556924,0.15747307165089705,0.3701423198527947,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,misfit,3681,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,stratum_flat,3681,57,41,0.006149692515374231,0.7192982456140351,3.0220208954272207,8.520145405430377,0.22910830983418723,0.6619356174643103,0.045454545454545456
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,stratum_medium,3681,1294,706,0.10591059105910591,0.5455950540958269,2.036250328123741,6.100000000000001,0.550901763523704,1.5379758720262373,0.9047619047619048
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,projection,stratum_sharp,3681,2330,715,0.10724463776811159,0.30686695278969955,1.0524276361549108,5.831293686877329,0.4954710175180172,1.484511913020118,0.9508196721311475
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,ALL,3681,3681,2294,0.1147,0.6232002173322466,1.6168494077266042,6.300000000000001,0.4608213574923557,1.378761176026723,0.631578947368421
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,base,3681,2763,1559,0.09027214823393168,0.5642417661961636,0.7579887499877995,6.03377571131484,0.2671532498677963,0.8488419321722417,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,big,3681,122,2,0.010526315789473684,0.01639344262295082,0.07745901639344262,0.0,1.9151765749364609,3.096479670724921,0.631578947368421
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,twosheet_back,3681,652,652,0.652,1.0,5.84211394351946,6.440062322190672,3.9699869925556728,4.8541513972323775,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,twosheet_front,3681,144,81,0.081,0.5625,0.26938515590730516,0.635074962538434,0.18062203857858355,0.41100303160556767,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,misfit,3681,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,stratum_flat,3681,57,52,0.007799610019499025,0.9122807017543859,3.724734983426553,9.060145405430376,0.23492319957696564,0.6985182859164936,0.06060606060606061
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,stratum_medium,3681,1294,1048,0.1572157215721572,0.8098918083462133,2.3673321271486683,6.6127018618439655,0.6180826230075236,1.6777623314383585,0.9206349206349206
fbig0.01_exch_atgt0.2_seed101,101,0.01,exch,0.2,eligible_no_bh,argmin,stratum_sharp,3681,2330,1194,0.1790910454477276,0.5124463519313305,1.1484914177064118,6.0541912884099975,0.5294818379030046,1.5492804729156335,0.9508196721311475
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,ALL,0,0,0,0.0,nan,nan,nan,0.20484051126801642,0.5431980601729477,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,base,0,0,0,0.0,nan,nan,nan,0.15991600295170863,0.20008070010310489,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,big,0,0,0,0.0,nan,nan,nan,4.897638271001144,5.185929345487895,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,twosheet_back,0,0,0,0.0,nan,nan,nan,0.16092870138098506,0.1990959968393023,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,twosheet_front,0,0,0,0.0,nan,nan,nan,0.15538293725503008,0.194595392197561,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,misfit,0,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,stratum_flat,0,0,0,0.0,nan,nan,nan,0.2059326751584591,0.5411915657596348,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,stratum_medium,0,0,0,0.0,nan,nan,nan,0.2064962988150283,0.5598773843806678,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,identity,stratum_sharp,0,0,0,0.0,nan,nan,nan,0.20209280818627617,0.5280569675533303,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,projection,ALL,0,0,0,0.0,nan,nan,nan,0.20484051126801642,0.5431980601729477,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,projection,base,0,0,0,0.0,nan,nan,nan,0.15991600295170863,0.20008070010310489,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,projection,big,0,0,0,0.0,nan,nan,nan,4.897638271001144,5.185929345487895,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,projection,twosheet_back,0,0,0,0.0,nan,nan,nan,0.16092870138098506,0.1990959968393023,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,projection,twosheet_front,0,0,0,0.0,nan,nan,nan,0.15538293725503008,0.194595392197561,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,original_bh,projection,misfit,0,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
