case,domain,method,output,output_sha256,seconds,gap_mm,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note,condition,patch,measured_reference_rms_mm,input_edit_rms_mm
dual_g2_s9131011_b0,synthetic,rimls_1,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__rimls_1.npz,418625c59618e9bacda0a0440c8a99dfeb08fd0ab2e8cab32eb2faa351694960,0.0070579799939878285,2,True,True,0.6427201624116226,0.8271991973832101,1.670474932969808,0.7747395833333334,0.9817708333333334,0.6680882689703905,1.0,0.8676360196131666,0.6690298879647121,0.8595617862163779,2.044069293824127,0.044069293824127165,1.0220346469120636,,self-report; not geometry-derived layer count or success,0.8667142930672949,0.03998245519022918,0.1670838364519686,0.17489562858164415,1.9054410341390025,0.09455896586099755,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__rimls_2.npz,dadd654aada1e6035858e2a9552dd5ec330d426a0f6865d6f4593ecb6376edb5,0.013315156000317074,2,True,True,0.3680798551647624,0.46320455554733586,0.9007284173490826,0.9674479166666666,0.9986979166666666,0.3972106866095433,1.0,0.4907623610679979,0.371811780660241,0.4693895402829327,2.0181661181607087,0.018166118160708677,1.0090830590803543,,self-report; not geometry-derived layer count or success,0.48903610726095453,0.041126400718858126,0.21997876866609234,0.2518676509234488,1.7923484696955931,0.20765153030440686,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,raw_apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__raw_apss_2.npz,c681386f1ce9623e57a25e0afbe125dda944a37d25665058d903321fb3287044,0.009565755986841395,2,True,True,0.3589979515144199,0.45195548380259176,0.8637536034162704,0.96875,1.0,0.36764745495325846,1.0,0.46249303768676375,0.3628290237621748,0.4582987929954386,2.010712434948682,0.010712434948681793,1.005356217474341,,self-report; not geometry-derived layer count or success,0.4604494224554574,0.04342970491686606,0.26369887080418514,0.3448947594986647,1.715632713406678,0.284367286593322,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,raw_rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__raw_rimls_2.npz,c409dfc276eb9804e6339a00905b3653ebbeb56fdcca2177f52bcbc730d87649,0.011218449988518842,2,True,True,0.36968895879536623,0.4656332136542202,0.8975757558255824,0.96875,0.9973958333333334,0.39873205229468595,1.0,0.4934280590300933,0.3733325387638304,0.47151422998775167,2.0224906055722576,0.02249060557225757,1.0112453027861288,,self-report; not geometry-derived layer count or success,0.4916723479344838,0.041587879421739485,0.23667611135532138,0.2865476572484667,1.7746022433744848,0.2253977566255152,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b4,synthetic,identity,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b4__identity.npz,da857a6b9f1c1153877e4932a5016930a4cc06109a77b15905fb5cb78550dc3a,2.1790037862956524e-06,2,True,True,2.9585130909178425,3.9225724970665508,8.588610750127241,0.2734375,0.5390625,1.9187817417410118,1.0,4.107754009934354,3.1113111283922485,4.1075272697693075,2.044290298037478,0.04429029803747797,1.022145149018739,,self-report; not geometry-derived layer count or success,4.107584374601499,0.037331108493790045,0.8446229327274902,1.1688542355587819,1.1935771281756924,0.8064228718243076,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b4,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b4__old_original.npz,5717fd3bde6f7e81e386ebae7428743b6fdb95b73433032d039385d7cca550ff,0.00063631399825681,2,True,True,0.20032371106356442,0.3305322280281139,0.8648224455324551,0.9713541666666666,1.0,0.2222411715891531,1.0,0.34007543282786135,0.20086412336666407,0.320141178437403,1.8350798004189817,0.16492019958101833,0.9175399002094908,,self-report; not geometry-derived layer count or success,0.3379199355810984,0.03822848610556705,0.715012452395202,1.0473081402357556,0.9286240569537356,1.0713759430462644,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b4,synthetic,old_multistart,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b4__old_multistart.npz,5717fd3bde6f7e81e386ebae7428743b6fdb95b73433032d039385d7cca550ff,0.01852657699782867,2,True,True,0.20032371106356442,0.3305322280281139,0.8648224455324551,0.9713541666666666,1.0,0.2222411715891531,1.0,0.34007543282786135,0.20086412336666407,0.320141178437403,1.8350798004189817,0.16492019958101833,0.9175399002094908,,self-report; not geometry-derived layer count or success,0.3379199355810984,0.03822848610556705,0.715012452395202,1.0473081402357556,0.9286240569537356,1.0713759430462644,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b4,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b4__whole_spatial.npz,22d49c3607255cded6d8210b297da9711a6dc4020aaab98737c95e81bd05fa15,0.037695045000873506,2,True,True,0.06422210610164146,0.1325062915877959,0.12492002523288953,0.9908854166666666,0.9973958333333334,0.10351655638559369,1.0,0.21140727439625484,0.07406236561608913,0.19696151092496383,2.0301979314277308,0.03019793142773075,1.0150989657138654,,self-report; not geometry-derived layer count or success,0.21020116820448195,0.022550045523778164,0.2527514593997749,0.3260527867860249,1.7403154371892895,0.2596845628107105,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b4,synthetic,local_plane_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b4__local_plane_96.npz,3190f3a609d884ba48123bf9da0bc48a77366def13806c42d09158b2e25b0439,0.004373873001895845,2,True,True,0.2666498923482579,0.35956966599094103,0.8284025147602684,0.984375,1.0,0.28724832532299294,1.0,0.3762575747896968,0.2695859140096726,0.3509266176048485,1.7969727744982595,0.20302722550174046,0.8984863872491298,,self-report; not geometry-derived layer count or success,0.3733824888165955,0.046424989302628616,0.8467173871757403,1.2994856069055656,0.6975944550257245,1.3024055449742755,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b4,synthetic,local_plane_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b4__local_plane_256.npz,0797748967bf6275e7ec2f37eda48530b3680c6b5d4ae0d074a500f65c3dbbc2,0.002492594998329878,2,True,True,0.3137623902521516,0.4272575995049748,0.9000671201874939,0.9765625,1.0,0.33494883702241696,1.0,0.44006280700604455,0.3163324600738943,0.4115050481195134,1.7336364274372813,0.2663635725627187,0.8668182137186407,,self-report; not geometry-derived layer count or success,0.4384859122552738,0.037220677904890226,1.2116090264471056,1.8390429513955602,0.1626359008492977,1.8373640991507023,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
