case,patch,mode,cell,n_points,n_scans,selected_k,sigma_mm,residual_median_mm,residual_cell_threshold_mm,residual_cell_fail,slope_norm,slope_threshold,slope_cell_fail,fit_ok,abs_residual_min_mm,abs_residual_p95_mm,abs_residual_max_mm,confidence_min,confidence_median,point_residual_pass_count,point_confidence_pass_count,raw_point_both_pass_count,accepted_count,graph_rejection_count,reason
da_wall__zero,da_wall,zero,5,393,2,2,2.0,38.39511574945693,5.0,True,1.5083713681451012,0.25,True,False,0.22974279193897473,71.15115132815522,74.81862291252648,1.0,1.0,41,393,41,0,393,cell median residual > 5 mm and cell slope > 0.25
da_wall__zero,da_wall,zero,6,190,2,2,2.0,27.346971354264102,5.0,True,0.5129536039282854,0.25,True,False,0.027199422190136602,67.76760490470667,89.838234236072,0.9999998642869151,1.0,29,190,29,0,190,cell median residual > 5 mm and cell slope > 0.25
da_wall__zero,da_wall,zero,7,26,2,2,2.0,22.49474705031794,5.0,True,0.2499415320395167,0.25,False,False,0.9201166280792421,56.391369183579535,104.0043934408056,1.0,1.0,3,26,3,0,26,cell median residual > 5 mm
da_wall__normal_translation,da_wall,normal_translation,0,672,2,2,2.0,33.83568221948654,5.0,True,0.5326526554406302,0.25,True,False,0.02284673171173779,71.2296360807896,84.30564465481426,0.9999998991744457,1.0,77,672,77,0,672,cell median residual > 5 mm and cell slope > 0.25
da_wall__normal_translation,da_wall,normal_translation,1,32,2,2,2.0,25.692080011455577,5.0,True,0.21512342505031062,0.25,False,False,0.9929439861256526,44.503190318783005,56.33935066574847,1.0,1.0,4,32,4,0,32,cell median residual > 5 mm
da_wall__normal_translation,da_wall,normal_translation,2,81,2,2,2.0,35.77058229418456,5.0,True,0.3869172877018773,0.25,True,False,1.4018436520766784,76.64498622428346,86.36508245303921,1.0,1.0,7,81,7,0,81,cell median residual > 5 mm and cell slope > 0.25
da_wall__normal_translation,da_wall,normal_translation,3,61,2,2,2.0,34.652413623277155,5.0,True,0.03387251118850892,0.25,False,False,0.4045298856628534,67.12736513223508,71.06792107117809,1.0,1.0,8,61,8,0,61,cell median residual > 5 mm
da_wall__normal_translation,da_wall,normal_translation,4,145,2,2,2.0,35.33093621943945,5.0,True,0.41705907213657345,0.25,True,False,0.29822733927404954,71.69192299472752,85.79390005247816,1.0,1.0,19,145,19,0,145,cell median residual > 5 mm and cell slope > 0.25
da_wall__normal_translation,da_wall,normal_translation,5,393,2,2,2.0,38.42198572689536,5.0,True,1.4801853964267266,0.25,True,False,0.18065221833060718,71.1367345727663,74.87214896403444,1.0,1.0,41,393,41,0,393,cell median residual > 5 mm and cell slope > 0.25
da_wall__normal_translation,da_wall,normal_translation,6,190,2,2,2.0,27.354641776615637,5.0,True,0.500150582052947,0.25,True,False,0.02731968627526271,67.77577963933366,89.84590705372207,0.9999998548734189,1.0,29,190,29,0,190,cell median residual > 5 mm and cell slope > 0.25
da_wall__normal_translation,da_wall,normal_translation,7,26,2,2,2.0,22.491030069125898,5.0,True,0.2502250914011037,0.25,True,False,0.9155837184289908,56.36866328750742,103.9469719499362,1.0,1.0,3,26,3,0,26,cell median residual > 5 mm and cell slope > 0.25
