case,seed,f_big,n_calibration,selector,subset,n,n_rejected,rejection_rate,max_bh_margin,bh_rejections,p_floor_min,p_floor_max,observation_sha256,selector_input_sha256,calibration_prefix_sha256,p_sha256
seed101_fbig0.01,101,0.01,32000,bh,all,20000,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,big,190,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,within_tolerance,19579,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,outside_tolerance,421,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,misfit,540,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,twosheet_back,1000,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,twosheet_front,1000,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,base,17270,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,wrong_association,2562,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,misfit_within_tolerance,532,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,bh,back_within_tolerance,989,0,0.0,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,pointwise,all,20000,2855,0.14275,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,pointwise,big,190,157,0.8263157894736842,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,pointwise,within_tolerance,19579,2596,0.13259104142193165,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,pointwise,outside_tolerance,421,259,0.6152019002375297,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
seed101_fbig0.01,101,0.01,32000,pointwise,misfit,540,425,0.7870370370370371,-8.12186086789185e-05,0,9.18526683200147e-05,9.62186086789185e-05,9dbb04e605684f7ccb433fbf9b27265326a11da9535ef7ffd7c52cf7279fb194,ca0b6541ce6148c8f60aaa161c06eaf4a173602c4497e4d4dd80798040c4552d,3656b7dcf91105268a03cc2cbc05395a546feac5fda012412f166589d431dd27,cf35e384caccfd03ff184043ffe4dcb54e20ffc8fea7555aca771f66aa41ecc5
